故障代码,故障解释,故障原因,解决方案,SYJX（故障属性）,故障类型
1,变频器检测电网波动,变频器检测到电网过压、欠压、频率过高、频率过低或电压不平衡。,"1.查看变频器菜单中的子故障，判断具体原因。
2.查询风机监控软件记录的波形数据，检查故障时刻电网是否波动（如电压突变、频率突变或三相不平衡的情况）。如波动后又恢复正常，经业主同意后可直接复位启机并网；如波动后不能恢复正常，询问业主电网是否存在未解决的问题。
3.如果电网实际电压正常，但风机显示的电网电压异常，检查变频器测量电网电压回路的线路及器件是否松动或异常（如：网侧8A/16A保险是否损坏）。",ABB.Pro程序PLC故障,变流器
2,机组部件类型未选择,PLC检测到机组器件类型选择不全,1.检查机组叶片、发电机、变桨减速比、风速仪等部件类型是否设置完毕。,ABB.Pro程序PLC故障,部件选型
3,预留,,,ABB.Pro程序PLC故障,备用
4,变频器复位超时,PLC与变频器CAN通讯发生故障,"1.如果与Err23一起报且Err23能复位，但Err4只有断电或重启PLC才能复位，可以重新下载或更换主PLC的CAN-Open协议。
2.检查变频器至PLC的CAN通讯接口之间线路、器件是否松动。
3.更换主PLC。",ABB.Pro程序PLC故障,看门狗
5,PLC软件标识号不正确,PLC软件版本不匹配,1.检查主、从、塔基PLC程序版本是否匹配。,ABB.Pro程序PLC故障,版本检查
6,变桨软件版本错误,变桨变频器软件版本存在问题,1.检查变桨变频器软件版本是否与PLC匹配。,ABB.Pro程序PLC故障,版本检查
7,偏航软件版本错误,偏航软件版本与程序定义版本不一致,"1.检查偏航变频器程序是否与PLC匹配。
2.修改PLC程序中参数DemYawVer为控制面板上显示的偏航版本号。",ABB.Pro程序PLC故障,版本检查
8,在初始化轮毂不能到达停止状态,初始化轮毂在35秒内未达到停止状态,"1.检查变桨状态是否变化正常。
2.检查接近开关安装距离及反馈信号是否正常。
3.检查是否滑桨。
4.如果划桨，检查变桨制动器供电继电器是否损坏，检查变桨电机刹车扭矩是否满足要求。",ABB.Pro程序PLC故障,初始化状态机
9,电网频率异常,电网频率大于设定值或小于设定值超过时限,"1.检查电网频率是否正常。
2.检查电网频率故障限值设置及延时时间是否正常。",ABB.Pro程序PLC故障,电网
10,无法找到机舱零位,机舱初始化状态偏航寻找零位超过24000秒,"1.检查凸轮开关反馈信号线路是否松动。
2.检查凸轮开关工作是否正常。",ABB.Pro程序PLC故障,初始化状态机
11,SS-0保险断开,保险下端接地或绝缘不够,"1.检查F230.6保险下端是否接地，如有接地需先处理好接地问题。
2.检查浪涌保护器F238.7及F238.2是否接地。
3.如果即将并网报此故障且与Err145同时报，检查ABB定子接触器24V控制线圈对地电阻，正常为1kΩ以上，如果只有十几欧姆，则电路板损坏，需更换电路板。
4.如果与Err23、Err29等故障同时报出，检查变频器IGBT、变频器24V电源板、350A保险、8A保险、Crowbar管状放电电阻是否正常。",ABB.Pro程序PLC故障,安全链
12,SS-1急停按扭,PLC接收不到组合继电器闭合反馈信号,"1.如果与Err103、Err104、Err105中的一个或多个同时报出，检查是否有急停按钮拍下或损坏。
2.如果单报Err12无法复位，检查急停及复位回路，寻找是否存在断点或线路松动问题。
3.检查急停复位线圈回路24V电压，如果低于20Vdc，则检查浪涌等器件是否正常，如绝缘异常、串电压等。
4.检查多功能继电器K230.3是否有问题。
5.若故障能够复位，但频繁发生，且以上原因都排除，则可采用排除法，将急停回路逐一短接，检查确定是否有线路或器件异常。",ABB.Pro程序PLC故障,安全链
13,SS-5机侧变频器断开安全链,系统检测到发电机超速,"1.检查编码器固定是否正常。
2.检查编码器外接电缆屏蔽线接地电阻是否小于0.3欧。
3.检查编码器至变频器间通讯线及插头是否松动或工作异常。
4.检查变频器到超速继电器及PLC之间的线路是否松动。
5.检查编码器供电电源是否稳定。
6.断开检查编码器外壳对地电阻，正常为无穷大。
7.检查发电机振动、噪音是否较大（如天元电机轴承不好引起噪音和振动，导致转速信号突变）。
8.检查发电机与齿轮箱之间的联轴器是否固定松动。
9.检查发电机编码器及固定是否有问题，天元电机早期使用的小编码器安装工艺有问题，建议更换为永济电机使用的大编码器（莱纳林德厂家）。
10.如果阵风引起，检查程序版本是否较旧。
11.检查叶片零位是否校正准确。
12.检查变频器测速版是否正常。",ABB.Pro程序PLC故障,安全链
14,SS-6震动传感器,发电机底部振动传感器回路触发,"1.检查发电机底部振动传感器及其回路。
2.检查机组实际振动。",ABB.Pro程序PLC故障,安全链
15,SS-7叶轮超速,叶轮转速突变或超过限制值,"1.检查NCC310-K228.6继电器触点至PLC之间的线路是否松动。
2.检查NCC310-K228.6继电器是否正常。",ABB.Pro程序PLC故障,安全链
16,SS-8看门狗,PLC主站A240.3:16收不到反馈信号,"1.如果NCC310柜门自动/手动 钥匙在手动位置，则服务模式下转速高于500rpm时会产生此故障。将自动/手动 钥匙转到自动即可。
2.检查NCC310-K246.1继电器是否工作正常。
3.如果与Err27、Err28同时报出，检查WTDI92/WTAI91上插头及线路是否松动或器件是否损坏。
4.如果与Err40、Err43、Err46同时报出，检查滑环上-X4通道6号线路上的电线连接及线路上的所有浪涌保护器，检查X4插头上7号线路是否正常接地。",ABB.Pro程序PLC故障,安全链
17,SS-9刹车位置,PLC主站A240.3:17收不到反馈信号,"1.检查制动器开/关传感器线路及液压油位是否正常。
2.检查继电器NCC310-K228.8是否正常。
3.检查继电器NCC310-K228.8至PLC E62.17端口的线路是否松动。",ABB.Pro程序PLC故障,安全链
