故障代码,描述,触发延时,刹车等级,偏航等级,复位模式,故障逻辑,检查
SC02_02_008,"机舱柜690V电源防雷器,机舱柜400V电源防雷器或塔底柜230V电源防雷器发生故障",5s,0,0,A,"机舱柜690V电源防雷器(118DI1输入口2的信号为0),400V电源防雷器(118DI1输入口4的信号为0)","1.检查118DI1至防雷器(110FA3,110FA4,110FA5)接线有无松动,检查防雷器是否损坏2.检查118DI1至防雷器(111FA3,111FA4,111FA5)接线有无松动,检查防雷器是否损坏"
SC02_02_036,机舱柜中发电机冷却风扇保护空开跳开,1s,51,0,M,"发电机冷却风扇电机的保护空开跳开,163DI1输入口6的信号为0","检查166Q2是否跳开,若跳开检查电机三相绕组是否正常,对地电阻是否正常,三相供电有无缺相若空开未跳开,检查163DI1输入口6到166Q2辅助触点的接线"
SC02_02_038,机舱柜中发电机空间加热器保护空开跳开,1s,0,0,A,"发电机空间加热器的保护空开跳开,163DI1输入口8的信号为0","1.若167F6跳开,检查加热电阻阻值是否正常,有无对地短路2.检查163DI1输入口8到167F6辅助触点的接线有无松动"
SC02_02_067,测量发电机定子U相绕组温度的PT100传感器故障,5s,51,0,M,169AI7的3通道输入异常,"检查模块至发电机接线盒段接线有无松动,模块是否失效测量PT100阻值是否正常"
SC02_02_069,测量发电机定子V相绕组温度的PT100传感器故障,5s,51,0,M,169AI7的4通道输入异常,"检查模块至发电机接线盒段接线有无松动,模块是否失效测量PT100阻值是否正常"
SC02_02_071,测量发电机定子W相绕组温度的PT100传感器故障,5s,51,0,M,173AI1的1通道输入异常,"检查模块至发电机接线盒段接线有无松动,模块是否失效测量PT100阻值是否正常"
SC02_02_073,测量发电机驱动端轴承温度的PT100传感器故障,5s,51,0,M,173AI1的2通道输入异常,"检查模块至发电机接线盒段接线有无松动,模块是否失效测量PT100阻值是否正常"
SC02_02_074,测量发电机驱动端轴承温度的PT100传感器故障,5s,51,0,M,173AI1的3通道输入异常,"检查模块至发电机接线盒段接线有无松动,模块是否失效测量PT100阻值是否正常"
SC02_08_006,发电机碳刷磨损警告,10s,0,0,A,169DI6的1通道信号为0,1.检查发电机主碳刷和接地碳刷长度是否合适2.检查模块至发电机接线盒段接线有无松动
SC02_08_007,发电机碳刷磨损故障,4d,50,0,M,169DI6的1通道信号为0,1.检查发电机主碳刷和接地碳刷长度是否合适2.检查模块至发电机接线盒段接线有无松动
SC02_08_013,发电机定子U相绕组温度高于过高设定值,1min,0,0,A,发电机定子U相线圈温度(1分钟平均值)高于设定值(130℃),1.检查发电机冷却风扇电机是否正常运行2.检查模块至发电机接线盒段接线有无松动3.检查PT100传感器是否正常
