故障代码,描述,触发延时,刹车等级,偏航等级,复位模式,故障逻辑,检查
SC01_05_019,某一桨叶电容电压过高,0,199,0,A,"如果桨叶1或者2或者3的电容电压高于77V(参数),则触发SC","1.万用表测量直流电压2F2的2端与2X1的22端电压,确认伺服检测显示电压与实际电压是否相符,如不相符检查伺服输入是否正常。2.检查电源管理模块进线空开是否闭合,闭合状态时,手动变桨,观察电容电压是否维持75VDC,是否过压,电源管理模块工作显示灯是否正常,正常工作灯颜色为绿色。3.如确认充电器故障更换电源管理模块,并确认电容是否因过压损坏。"
SC01_05_020,某一桨叶电容电压过低,0,199,0,A,"如果桨叶1或者2或者3的电容电压低于68V(参数)或者变桨发给主控的相应位置1,并且不再自检2的情况下,则触发SC","1.先排除是否主电源故障引起的,然后用万用表测量直流电压2F2的2端与2X1的22端电压,确认伺服检测显示电压与实际电压是否相符,如不相符检查伺服输入是否正常。2.手动变桨,看电视容电压是否维持75V,如果电压随着变桨过程不断降低且无法恢复至75V则检查电源管理模块进线空开是否闭合,闭合状态时,观察电源管理模块工作显示灯是否正常,正常工作灯颜色为绿色。测量充电器是否有输出,可以在电源管理模块上电情况下,手动变桨。3.如确认充电器故障更换电源管理模块"
SC01_05_022,某一桨叶电容中间点电压故障,0,199,0,A,"如果变桨发给主控的任何一个电容中间点电压故障位变为TRUE,并且风机状态不在自检2的时候则触发该SC","1.测量电容中间点电压E8对2X1的22端和电容电压2F2的2端对2X1的22端是否正常2.若不正常,依次测量五个超级电容单体电压,将有问题的电容进行更换。"
SC01_05_023,某一桨叶电容箱温度过高,2s,199,0,A,"如果任意一桨叶的电容柜子温度高于65度,延时2s,则触发该SC","1.测量5A2的5和6端PT100电阻值应与显示值一致,通道灯是否闪红或长红现象,确认是否因PLC卡件故障导致。2.检查PT100至PLC接线是否存在虚接现象。"
SC01_05_028,某一个桨叶驱动器内部温度过高,T#1s,199,0,A,"变桨系统某一个桨叶的驱动器内部温度高于75度时,或者profibus传过来的相应的位置1(即diBladel_OvertempConverter=1 or diBlade2_OvertempConverter=1 or diBlade3_OvertempConverter=1)","1.主控界面观察变频器温度是否超温,此温度为变频器内部测量。可以对比三个轴箱变频器温度,若差值比较大,是由于变频器测温有问题,更换变频器。2.观察报故障时电机温度、轴箱温度值,综合分析变频器超温原因。"
SC01_05_040,变桨系统轴控柜温度过低,T#2s,51,0,A,变桨系统柜温度低于规定值。(grTempBladel_AxisBox<PAR_PitchTempAxisBoxLow OR grTempBlade2_AxisBox<PAR_PitchTempAxisBoxLow OR grTempBlade3_AxisBox<PAR_PitchTempAxisBoxLow),"1.测量5A2的7和8端PT100电阻值应与显示值一致,观察通道灯是否闪红或长红现象,确认是否因PLC卡件故障导致。2.天气寒冷时,检查加热器是否正常工作,初次上电时加热器正常工作一段时间,实际温度上升后该故障能复位。"
SC01_05_043,某一桨叶电机电流过大,T#5s,199,0,A,任意一个变桨电机电流大于设定值PAR_Pitch_OverMotorCurrent(400),"1.检查电机三相对地是否绝缘,如不绝缘查找是电机内部还是变频器和线路对地不绝缘。"
SC01_05_044,某一桨叶变桨超速,T#0s,199,0,A,"任意一个变桨发给主控的相应位置1,则该SC触发,即di_Bladel1_PitchOverSpeed=1 or di_Blade2_PitchOverSpeed=1 or di_Blade3_PitchOverSpeed=1","1.若出现超速现象,检查编码器速度反馈接线是否正常,通过调试界面观察速度反馈是否超速,具体故障原因具体分析。"
SC01_05_045,某一变桨电机堵转,T#0s,199,0,A,"任意一个变桨发给主控的相应位置1,则该SC触发,即di_Bladel1_MotorJammedError=1 or di_Blade2_MotorJammedError=1 or di_Blade3_MotorJammedError=1","1.电机堵转可能是由于电机速度反馈值不正确,检查编码器工作是否有正常,CAN通讯不正常时,此故障也会伴生。2.电机出现堵转情况时温度上升很快,也可以根据此现象判断是否是变频器U/V/W有输出时电机发生堵转,如果是此种情况,检查抱闸回路是否工作正常,检查齿轮、电机制动器等机械原因。"
SC01_05_046,某一变桨电机堵转且超温,T#0s,199,0,A,"任意一个变桨发给主控的相应位置1,则该SC触发,即diBladel_MotorTempOverAndJammed=1 or diBlade2_MotorTempOverAndJammed=1 or diBlade3_MotorTempOverAndJammed=1","1.测量5A2的1和2端PT100电阻值应与显示值一致,接线是否虚接。2.如果接线正常,电机确实过热,检查抱闸回路是否工作正常,检查是否因变桨齿轮箱、电机制动器等机械原因造成的故障。"
SC01_05_047,某一桨叶桨矩角过小,T#1s,199,0,A,"任意一个桨矩角小于设定值PAR_Blate_PitchAngleEnc1Min(-5)或者变桨发给主控的相应位置1时,(即diBladel_AngleTooLow=1 or diBlade2_AngleTooLow=1 or diBlade3_AngleTooLow=1)","桨叶运转超过限制值时,会报此故障,若复位正常后给0°位置指令,观察电机是否有过调情况,也有可能是编码器位置值反馈出现问题,视具体情况分析。"
SC01_05_048,某一桨叶桨矩角过大,T#1s,199,0,A,"任意一个桨矩角大于设定值PAR_Blate_PitchAngleEnc1Max(92)或者变桨发给主控的相应位置1时,(即diBladel_AngleTooHigh=1 or diBlade2_AngleTooHigh=1 or diBlade3_AngleTooHigh=1)","桨叶运转超过限制值时,会报此故障,若复位正常后给90°位置指令,观察电机是否有过调情况,也有可能是编码器位置值反馈出现问题,视具体情况分析。"
SC01_05_060,某一桨叶90度位置传感器故障,T#0s,199,0,A,"变桨发给主控的相应位置1,即(di_Bladel_SensorDefect_90Deg=1ORdi_Blade2_SensorDefect_90Deg=1ORdi_Blade3_SensorDefect_90Deg=1)","手动触发传感器,观察PLC是否收到DI信号,正常情况下,位置传感器与撞铁滑块距离3~5mm合适,如果偏大偏小可以手动调整,调整后必须重新Teach。手动转动桨叶,撞铁滑块途径位置传感器时,观察PLC是否收到DI信号,若不正常更换位置传感器。(6A1的7通道为3°位置传感器DI;8通道为90°位置传感器DI)"
SC01_05_059,某一桨叶3度位置传感器故障,T#0s,199,0,A,"变桨发给主控的相应位置1,即(di_Bladel_SensorDefect_3Deg=1ORdi_Blade2_SensorDefect_3Deg=1ORdi_Blade3_SensorDefect_3Deg=1)","手动触发传感器,观察PLC是否收到DI信号,正常情况下,位置传感器与撞铁滑块距离3~5mm合适,如果偏大偏小可以手动调整,手动转动桨叶,滑块途径位置传感器时,观察PLC是否收到DI信号,若不正常更换位置传感器。(6A1的7通道为3°位置传感器DI;8通道为90°位置传感器DI)"
SC01_05_035,变桨系统某一桨叶处于强制手动模式,T#0s,51,0,A,"变桨发给主控的相应位被置1,则触发某一桨叶处于强制手动模式。(di_Bladel_ForceManulMode=1 ORdi_Blade2_ForceManulMod=1 ORdi_Blade3_ForceManulMode=1)","检查2X1的9跟10是否被接,7A1的DI1是否有输入,非强制手动时,2X1的9跟10没有被短接,7A1的DI1没有输入"
SC01_05_027,桨1 Teached操作未完成,T#0s,199,0,A,桨叶1Teached操作未完成di_Bladel_TeachedOperationFinished=0,"检查3°及88°传感器是否可正常工作,确认传感器可正常工作后,连接Teach界面,重新进行Teach操作,3°传感器灭的值应大于0.5°(小于此值时应将挡块向后调);同一传感器亮跟灭时的差值最好在1.3-1.9之间(小于此值,可将传感器调近,但不要撞到挡块)"
SC01_05_065,桨2 Teached操作未完成,T#0s,199,0,A,桨叶2Teached操作未完成di_Blade2_TeachedOperationFinished=0,"检查3°及88°传感器是否可正常工作,确认传感器可正常工作后,连接Teach界面,重新进行Teach操作,3°传感器灭的值应大于0.5°(小于此值时应将挡块向后调);同一传感器亮跟灭时的差值最好在1.3-1.9之间(小于此值,可将传感器调近,但不要撞到挡片)"
SC01_05_066,桨3 Teached操作未完成,T#0s,199,0,A,桨叶3Teached操作未完成di_Blade3_TeachedOperationFinished=0,"检查3°及88°传感器是否可正常工作,确认传感器可正常工作后,连接Teach界面,重新进行Teach操作,3°传感器灭的值应大于0.5°(小于此值时应将挡块向后调);同一传感器亮跟灭时的差值最好在1.3-1.9之间(小于此值,可将传感器调近,但不要撞到挡牌)"
SC01_05_055,某一个变桨伺服驱动器处于故障状态,T#0s,199,0,M,"变桨发给主控的相应伺服驱动器故障码大于0,(ai_Bladel_LastErrorInverter>0)OR(ai_Bladel2_LastErrorInverter>0)ORai_Bladel3_LastErrorInverter>0)","1.检查CAN通讯是否正常,检查变频器2F2的2端对2X1的22端是否有75VDC,检查变频器接线端是否牢固。2.重新上电,断开/闭合2F2。"
SC01_05_024,某一个SSI传感器故障,T#0s,199,0,A,"变桨发给主控的相应位被置1,SC(di_Bladel EncoderDefect_SSI=1 ordi_Blade2 EncoderDefect_SSI=1 ordi_Blade3 EncoderDefect_SSI=1)","观察位置反馈值和速度反馈值是否正常,不正常更换电机编码器。"
SC01_05_025,变桨某一控制柜安全链被触发,T#0s,199,0,A,"不在自检2时,变桨发给主控的相应位被置1,SC(di_Bladel_SafetyChainTrigger=1 ordi_Blade2_SafetyChainTrigger=1 ordi_Blade3_SafetyChainTrigger=1)","变桨安全链触发后一般会有其他故障报出,参看其他故障,并检查安全链回路。"
SC01_05_026,某一SSI编码器状态故障,T#100ms,199,0,A,任意一个SSI编码器状态故障(gbBladel_StatusNormal_SSI=0 orgbBlade2_StatusNormal_SSI=0 orgbBlade3_StatusNormal_SSI=0),"1.检查编码器物理接线是否正确牢固,测量4X1的17对10A1的1;18对2;19对3;20对4;21对5;22对8是否相通,以及对地绝缘情况是否良好,电机码盘SSI电缆10XS1哈丁插头内压针是否和机箱接触牢靠。2.检查SSI卡指示灯是否正常,通常只有第一通道灯是常绿的。3.连接调试界面,手动模式下,复位,给正反转指令,观察电机位置/速度反馈是否正常,观察是否报SSIEncoder故障。若有,综合分析,确定更换编码器还是SSI卡件。"
SC01_05_039,某一变桨电容充电器异常,T#0s,199,0,A,"变桨系统发给主控的任意一个桨叶的电容充电工作状态位置1,(di_Bladel_SG6_1_WorkNormal=0ordi_Bladel2_SG6_1_WorkNormal=0ordi_Bladel3_SG6_1_WorkNormal=0)低穿时延时5s,否则延时2s","确认是否由于主电源故障引起的,如不是,检查电源管理模块入口电压是否正常,检查电源管理模块是否有输出,测量2F2与2X1的22端是否为75V左右,观察电源管理模块工作指示灯是否正常,正常时为绿色,可以重启上电,若还不正常,更换电源管理模块。"
SC03_09_098/099/100,桨叶1/2/3自检电容电压故障,T#0s,199,0,M,"桨叶1/2/3电容自检时,如果检测到电容电压低于50V,或者桨叶1自检开始和结束时的电容电压差大于25V,则报故障","1.手动再次出发自检,看故障是否仍然报出2.手动顺桨,观察对比电机电流及电容电压跌落情况,判定电容是否失效"
SC01_05_111/112/113,1/2/3号桨的95度限位开关被撞开,T#100ms,199,0,M,di_Bladel1/2/3_EndPos95Deg = 1,"1.检查PLC与变频器CAN通讯是否正常。2.检查PLC卡件连接是否紧凑牢固,上电后,观察8A1工作是否正常,手动测量8A1的第一通道与2X1的22端子之间是否有24VDC电压。3.检查是否报编码器故障"
SC01_05_114/115/116,1/2/3号桨的变桨电机温度过高,T#1s,199,0,M,di_Bladel1/2/3_MotorOvertemp=1,"1.测量5A2的1和2端PT100电阻值应与显示值一致,接线是否虚接。2.观察通道灯是否闪红或长红现象,排除PLC卡件故障,如电机确实过热,检查是否因变桨齿轮箱、电机制动器等机械原因造成的故障。"
SC01_05_117,变桨系统处在紧急模式,T#100ms,199,0,A,如果变桨系统报“变桨系统处在紧急模式”(di_Pitch_EmergencyMode=1),变桨系统处于紧急模式参看报出的其他变桨故障解决
SC01_05_118,变桨系统400V电网存在故障,T#0s,199,0,M,变桨系统的供电网发生故障。(diPitch_MainsFailure=1),1.查看电网电压是否确实存在故障;2.查看充电器是否异常;查看电容是否存在故障(五块电容之间的电压差最大不超过2V)
SC01_05_119,变桨系统轴控柜温度过高,T#100ms,199,0,A,变桨系统柜温度高于规定值。(grTempBladel_AxisBox_Lmin >PAR_TempBladel_AxisBoxMAX ORgrTempBlade2_AxisBox_Lmin >PAR_TempBlade2_AxisBoxMAX ORgrTempBlade3_AxisBox_Lmin >PAR_TempBlade3_AxisBoxMAX),"1.测量EL3204的7和8端PT100电阻值应与显示值一致,通道灯是否闪红或长红现象,确认是否因PLC卡件故障导致,看三个轴控柜温度是否一致。2.检查PT100至PLC接线是否存在虚接现象。"
SC01_05_120,与变桨系统Profibus通讯故障,PAR_tSetDelayForProfibus,199,0,M,与变桨系统通讯心跳信号丢失。(gbProfibusPitchDisturbed=1),"将轴箱控制器重新上电,断开/闭合2F2。先排除DP卡件本身是否故障,然后检查DP通讯线物理连接是否正确,接线是否牢固有无虚接情况,屏蔽接地是否良好,变桨从站号分别为#51、#52、#53终端站DP头为on状态即终端电阻有效,在机舱柜和轴箱断电情况下,测量Profibus Dp总线电阻是否为110Ω。检查变桨滑环是否清洁。"
SC01_05_121,变桨系统与驱动器的CAN通讯故障,PAR_tSetDelayForCANProfibus,199,0,A,变桨系统内部CAN1-6号某节点发生故障。(diPitch_CAN_NodeError=1OR diPitch_CAN_Node2Error=1OR diPitch_CAN_Node3Error=1OR diPitch_CAN_Node4Error=1OR diPitch_CAN_Node5Error=1OR diPitch_CAN_Node6Error=1OR diPitch_CANBusGlobalError=1),"观察EL6751 CAN模块显示灯是否正常,观察95°限位开关是否动作,伺服是否断电。重新上电,断开/闭合2F2。测量5X1的2和3端子间电阻应为60Ω。若上述操作均不起作用,检查变频器接线端子是否牢固,测量F1与2X1的22电压是否75VDC"
SC01_05_122,1号桨没有跟随位置设定值,T#1s,199,0,M,"在并网且变桨处于正常模式下,如果变桨系统报“叶片1的位置变化不连贯”且实际桨矩角和设置值相差超过2度(di_Blade1_PositionIncoherence=1)","检查位置反馈,查看编码器,SSI卡件,确认位置值反馈是否准确,若不准确,则可能为编码器或SSI卡件故障查看轴承,是否有杂物,查看4K1回路是否功能正常,参看有无报出其他变桨相关故障。"
SC01_05_123,2号桨没有跟随位置设定值,T#1s,199,0,M,"在并网且变桨处于正常模式下,如果变桨系统报“叶片2的位置变化不连贯”且实际桨矩角和设置值相差超过2度(di_Blade2_PositionIncoherence=1)","检查位置反馈,查看编码器,SSI卡件,确认位置值反馈是否准确,若不准确,则可能为编码器或SSI卡件故障查看轴承,是否有杂物,查看4K1回路是否功能正常,参看有无报出其他变桨相关故障。"
SC01_05_124,3号桨没有跟随位置设定值,T#1s,199,0,M,"在并网且变桨处于正常模式下,如果变桨系统报“叶片3的位置变化不连贯”且实际桨矩角和设置值相差超过2度(di_Blade3_PositionIncoherence=1)","检查位置反馈,查看编码器,SSI卡件,确认位置值反馈是否准确,若不准确,则可能为编码器或SSI卡件故障查看轴承,是否有杂物,查看4K1回路是否功能正常,参看有无报出其他变桨相关故障。"
SC01_05_125,两桨叶间的角度差大于设定值(相差2度持续200毫秒),T#1s,199,0,M,风机满足如下所有条件:1.风机不满足BlockMonitoring条件2.两桨叶间的角度差大于设定值3.变桨系统不处于维护模式或者手动控制模式4.桨叶没有撞到限位开关,"检查位置反馈,查看编码器,SSI卡件,确认位置值反馈是否准确,若不准确,则可能为编码器或SSI卡件故障查看轴承,是否有杂物,查看4K1回路是否功能正常,参看有无报出其他变桨相关故障。"
SC01_05_126,变桨系统处于维护模式,T#100ms,0,0,A,变桨系统处于任一维护模式。(DQ_PitchManualMode=1 OR di_Pitch_MaintenanceMode=1 OR di_Bladel_MaintenanceMode=1 OR di_Blade2_MaintenanceMode=1 OR di_Blade3_MaintenanceMode=1),查看三个变桨柜是否有处于手动模式
