source,type,target,weight
section:694ce1c23e2f,BELONGS_TO_SYSTEM,system:51198095738b,4
document:694ce1c23e2f,HAS_SECTION,section:694ce1c23e2f,4
section:694ce1c23e2f,MENTIONS_TERM,term:8898b14992fa,4
document:69be17484fa1,HAS_SECTION,section:69be17484fa1,3
document:3a7db3fbf8c0,HAS_SECTION,section:3a7db3fbf8c0,3
section:69be17484fa1,MENTIONS_COMPONENT,component:6f454c002ccb,3
section:69be17484fa1,MENTIONS_TERM,term:41eef008cb28,3
section:69be17484fa1,MENTIONS_TERM,term:cb8ea1925439,3
section:69be17484fa1,MENTIONS_TERM,term:3f5ad413e2f2,3
section:69be17484fa1,MENTIONS_TERM,term:6f454c002ccb,3
section:69be17484fa1,MENTIONS_TERM,term:d3bea9efb1b9,3
section:69be17484fa1,MENTIONS_TERM,term:947f6b771f60,3
section:3a7db3fbf8c0,MENTIONS_TERM,term:45ebccbcba96,3
section:3a7db3fbf8c0,MENTIONS_TERM,term:117bac1e4506,3
section:3a7db3fbf8c0,MENTIONS_TERM,term:947f6b771f60,3
section:694ce1c23e2f,BELONGS_TO_SYSTEM,system:0169dd5f049c,2
fault_code:522b07e413f5,DIAGNOSED_BY,diagnostic_signal:9a7342874186,2
fault_code:522b07e413f5,DIAGNOSED_BY,diagnostic_signal:13456a647a70,2
fault_code:522b07e413f5,DIAGNOSED_BY,diagnostic_signal:ce4fca2880be,2
fault_code:522b07e413f5,DIAGNOSED_BY,diagnostic_signal:d8565e49760d,2
fault_code:522b07e413f5,DIAGNOSED_BY,diagnostic_signal:400588d76235,2
fault_code:522b07e413f5,DIAGNOSED_BY,diagnostic_signal:88eae9dccf50,2
fault_code:8114b9dabe64,DIAGNOSED_BY,diagnostic_signal:9a7342874186,2
fault_code:8114b9dabe64,DIAGNOSED_BY,diagnostic_signal:13456a647a70,2
fault_code:8114b9dabe64,DIAGNOSED_BY,diagnostic_signal:ce4fca2880be,2
fault_code:8114b9dabe64,DIAGNOSED_BY,diagnostic_signal:d8565e49760d,2
fault_code:8114b9dabe64,DIAGNOSED_BY,diagnostic_signal:400588d76235,2
fault_code:8114b9dabe64,DIAGNOSED_BY,diagnostic_signal:88eae9dccf50,2
fault_code:d0d5f5f3d469,DIAGNOSED_BY,diagnostic_signal:7001dd36f8df,2
fault_code:d0d5f5f3d469,DIAGNOSED_BY,diagnostic_signal:704f579138e4,2
fault_code:d0d5f5f3d469,DIAGNOSED_BY,diagnostic_signal:b58b13cfa16f,2
fault_code:d0d5f5f3d469,DIAGNOSED_BY,diagnostic_signal:d3bea9efb1b9,2
fault_code:d0d5f5f3d469,DIAGNOSED_BY,diagnostic_signal:064b2194b081,2
fault_code:d0d5f5f3d469,DIAGNOSED_BY,diagnostic_signal:5665580b49e4,2
fault_code:4491f8b5ecc0,DIAGNOSED_BY,diagnostic_signal:8bb7513a190a,2
fault_code:4491f8b5ecc0,DIAGNOSED_BY,diagnostic_signal:ba155cf9e29d,2
fault_code:4491f8b5ecc0,DIAGNOSED_BY,diagnostic_signal:45e6f3ef354f,2
fault_code:4491f8b5ecc0,DIAGNOSED_BY,diagnostic_signal:5f1a682b5bbe,2
fault_code:4491f8b5ecc0,DIAGNOSED_BY,diagnostic_signal:8adca19f8ba0,2
fault_code:4491f8b5ecc0,DIAGNOSED_BY,diagnostic_signal:d78beff5e322,2
fault_code:8114b9dabe64,DIAGNOSED_BY,diagnostic_signal:4be3e313e17b,2
fault_code:8114b9dabe64,DIAGNOSED_BY,diagnostic_signal:1ebe26de5a87,2
fault_code:8114b9dabe64,DIAGNOSED_BY,diagnostic_signal:b22469bb72dc,2
fault_code:8114b9dabe64,DIAGNOSED_BY,diagnostic_signal:709808247c94,2
fault_code:8114b9dabe64,DIAGNOSED_BY,diagnostic_signal:e90e34e4fc34,2
fault_code:8114b9dabe64,DIAGNOSED_BY,diagnostic_signal:a9d5244c3c22,2
document:225c317ca503,HAS_SECTION,section:225c317ca503,2
fault_code:522b07e413f5,MANIFESTS_AS,symptom:bce7ba643708,2
fault_code:522b07e413f5,MANIFESTS_AS,symptom:86fd92941734,2
fault_code:8114b9dabe64,MANIFESTS_AS,symptom:bce7ba643708,2
fault_code:8114b9dabe64,MANIFESTS_AS,symptom:86fd92941734,2
fault_code:d0d5f5f3d469,MANIFESTS_AS,symptom:972b4a3e5fcc,2
fault_code:d0d5f5f3d469,MANIFESTS_AS,symptom:b93a7ebc4d3f,2
fault_code:d0d5f5f3d469,MANIFESTS_AS,symptom:0158358365e1,2
fault_code:d0d5f5f3d469,MANIFESTS_AS,symptom:03fab01a2721,2
fault_code:d0d5f5f3d469,MANIFESTS_AS,symptom:e8b32b844260,2
fault_code:d0d5f5f3d469,MANIFESTS_AS,symptom:01c22a8a21d6,2
fault_code:4491f8b5ecc0,MANIFESTS_AS,symptom:6fe8c7330676,2
fault_code:4491f8b5ecc0,MANIFESTS_AS,symptom:5a44cab72ea6,2
fault_code:4491f8b5ecc0,MANIFESTS_AS,symptom:77c384ea5893,2
fault_code:4491f8b5ecc0,MANIFESTS_AS,symptom:be01fa5db85e,2
fault_code:8114b9dabe64,MANIFESTS_AS,symptom:e33299c916ad,2
fault_code:8114b9dabe64,MANIFESTS_AS,symptom:ba46ae3909f4,2
fault_code:8114b9dabe64,MANIFESTS_AS,symptom:6994ae4460a0,2
fault_code:8114b9dabe64,MANIFESTS_AS,symptom:420a67852097,2
fault_code:8114b9dabe64,MANIFESTS_AS,symptom:86964566d783,2
fault_code:8114b9dabe64,MANIFESTS_AS,symptom:8475d9c48c38,2
section:69be17484fa1,MENTIONS_COMPONENT,component:54a2a0a871b6,2
section:694ce1c23e2f,MENTIONS_COMPONENT,component:05de69616218,2
section:694ce1c23e2f,MENTIONS_COMPONENT,component:6348867dd227,2
section:225c317ca503,MENTIONS_COMPONENT,component:836b876c873e,2
section:3a7db3fbf8c0,MENTIONS_MODEL,model:070657d0b1fb,2
section:3a7db3fbf8c0,MENTIONS_MODEL,model:ea8825f00efb,2
section:69be17484fa1,MENTIONS_TERM,term:9f8d394ef97e,2
section:69be17484fa1,MENTIONS_TERM,term:54a2a0a871b6,2
section:69be17484fa1,MENTIONS_TERM,term:a561a61eb5ad,2
section:3a7db3fbf8c0,MENTIONS_TERM,term:41eef008cb28,2
section:3a7db3fbf8c0,MENTIONS_TERM,term:38d0a8358b11,2
section:225c317ca503,MENTIONS_TERM,term:7cd04214ce37,2
section:225c317ca503,MENTIONS_TERM,term:9f8d394ef97e,2
section:225c317ca503,MENTIONS_TERM,term:23362670e490,2
section:225c317ca503,MENTIONS_TERM,term:d3bea9efb1b9,2
section:225c317ca503,MENTIONS_TERM,term:b9f7fdf18d29,2
section:225c317ca503,STATES_SIGNAL,diagnostic_signal:e7d684297be6,2
section:694ce1c23e2f,BELONGS_TO_SYSTEM,system:bfc8eeb8b8f4,1
section:3a7db3fbf8c0,BELONGS_TO_SYSTEM,system:0169dd5f049c,1
fault_code:8114b9dabe64,BELONGS_TO_SYSTEM,system:0169dd5f049c,1
section:3a7db3fbf8c0,BELONGS_TO_SYSTEM,system:3b38804e36bc,1
section:225c317ca503,BELONGS_TO_SYSTEM,system:b59dea4e1bf8,1
causal_factor:f294860a1629,CAN_TRIGGER,fault_code:522b07e413f5,1
causal_factor:94c6d4a70a65,CAN_TRIGGER,fault_code:522b07e413f5,1
causal_factor:671241e8b8e2,CAN_TRIGGER,fault_code:522b07e413f5,1
causal_factor:1979c49b4b91,CAN_TRIGGER,fault_code:522b07e413f5,1
causal_factor:f294860a1629,CAN_TRIGGER,fault_code:8114b9dabe64,1
causal_factor:94c6d4a70a65,CAN_TRIGGER,fault_code:8114b9dabe64,1
causal_factor:671241e8b8e2,CAN_TRIGGER,fault_code:8114b9dabe64,1
causal_factor:1979c49b4b91,CAN_TRIGGER,fault_code:8114b9dabe64,1
causal_factor:f294860a1629,CAN_TRIGGER,fault_name:b286df3c0a0e,1
causal_factor:94c6d4a70a65,CAN_TRIGGER,fault_name:b286df3c0a0e,1
causal_factor:671241e8b8e2,CAN_TRIGGER,fault_name:b286df3c0a0e,1
causal_factor:1979c49b4b91,CAN_TRIGGER,fault_name:b286df3c0a0e,1
causal_factor:f294860a1629,CAN_TRIGGER,fault_name:a70700b0c731,1
causal_factor:94c6d4a70a65,CAN_TRIGGER,fault_name:a70700b0c731,1
causal_factor:671241e8b8e2,CAN_TRIGGER,fault_name:a70700b0c731,1
causal_factor:1979c49b4b91,CAN_TRIGGER,fault_name:a70700b0c731,1
causal_factor:f294860a1629,CAN_TRIGGER,fault_name:89d47f642552,1
causal_factor:94c6d4a70a65,CAN_TRIGGER,fault_name:89d47f642552,1
causal_factor:671241e8b8e2,CAN_TRIGGER,fault_name:89d47f642552,1
causal_factor:1979c49b4b91,CAN_TRIGGER,fault_name:89d47f642552,1
causal_factor:f294860a1629,CAN_TRIGGER,fault_name:0922d1c203fc,1
causal_factor:94c6d4a70a65,CAN_TRIGGER,fault_name:0922d1c203fc,1
