序号,偏航故障代码,故障现象,故障原因,解决方案
1,YawErr001,直流母线过电压,如果直流母线电压超过允许值时，会发生此故障,"1.检查输入偏航变频器电压是否正确(+NCC300 - U118.6:L1-L2-L3)有可能是电压波动造成。
2.检查制动电阻是否损坏，相关线路是否有松动。
3.偏航变频器断电重启。
4.更换偏航变频器。"
2,YawErr002,"直流母线电压低,<240V",如果直流母线电压低于允许值240V时，会发生此故障,"1.检查偏航接线是否有误。
2.检查输入偏航变频器电压是否正确(+NCC300 - U118.6:L1-L2-L3)有可能是电压波动造成。
3.更换偏航变频器。"
3,YawErr003,直流母线电压波动,如果输入电压缺相，会产生此故障,"1.检查偏航变频器输入三相电压相序是否正确，接线是否牢固。
2.检查斩波器给变频器输入电压是否正常，如果不正常更换斩波器。
3.偏航变频器故障，更换偏航变频器。"
4,YawErr004,"瞬时过电流, > 43A ",如果电流超过43A，会产生此故障,"1.检查偏航电机刹车是否全部打开，是否有电机损坏，检查偏航刹车系统接线是否良好。
2.如果是江特电机，需要修改偏航变频器参数。
3.按照《1.5MW机组偏航过电流问题参数优化（YawErr004）2012.3.8.pdf》修改偏航参数。"
5,YawErr006,"变频器过热,不能重置, 见Err7",偏航变频器自检过热时产生此故障,"1.检查偏航变频器是否过热，如果过热查找原因，如果不是，该故障可以复位掉。
2.更换偏航变频器。"
6,YawErr007,"内部过热,可重置",偏航变频器自检过热时产生此故障,检查偏航变频器是否过热，如果过热查找原因，如果不是，该故障可以复位掉。
7,YawErr008,"变频器过热, >90°C,不能重置",偏航变频器自检过热时产生此故障,"1.检查散热器风扇是否正常工作。
2.检查NCC300柜内是否过热，导致偏航变频器检查到温度过热。"
8,YawErr009,"电机过热,不能重置",电机温度过高，产生此故障,"1.检查偏航电机是否有损坏。
2.强制偏航刹车打开后，检查4个电机的刹车是否均一打开。
3.检查温控开关线路是否有松动，导致偏航变频器收不到温控信号。"
9,YawErr11,"电机过热,可重置",偏航变频器检测到不在正确的温度下运行,"1.检查偏航电机温控接线是否牢固，T1、T2之间线路是否了解可靠。
2.检查偏航冷却风扇是否正常工作。
3.检查偏航电机是否有异常噪音，是否内部摩擦导致实际温度过高。
4.电机温控开关是否损坏，或者偏航变频器反馈点T1/T2点是否损坏。更换变频器"
10,YawErr12,电源故障,电源损坏这个故障产生,"1.复位运行。
2.更换偏航变频器。"
11,YawErr14,"无效软件版本,控制卡不同",偏航变频器版本不正确产生此故障,"1.重刷偏航变频器程序。
2.更换偏航变频器及通讯板。"
12,YawErr15,并联负荷故障,并联负荷不够此故障产生,"1.负载分流缺陷，更换偏航变频器。
2.检查输入电压，是否缺相或者外部电压过低。
3.制动电阻是否损坏或连接线路错误。
4.外部线路损坏导致接地或放电等。"
13,YawErr16,"过载达到100%,不能重置",如果过载计数器存储值达到100%，此故障产生,"1.机械结构上是不是有过载，包括电机过载等等。
2.检查偏航变频器输出线路及电机线路是否有问题。"
14,YawErr17,"过载达到100%, 可重置",,复位即可
15,YawErr19,"变频器过载,电流 >16.5A ,不能重置",瞬时电流过载后不能复位,"1.检查外围线路及电机
2.更换偏航变频器"
16,YawErr20,"变频器过载,电流 >16.5A ,可重置",瞬时电流过载后能复位,"1.检查外围线路及电机
2.复位即可"
17,YawErr21,"EEPROM故障,可重置, 不能储存到 EEPROM",如果EEPROM损坏此故障产生,"1.复位即可。
2.更换偏航变频器"
18,YawErr22,电源通讯故障,通讯连接不正常,"1.检查通讯板是否连接正常，通讯线路是否连接完好。
2.更换偏航变频器。"
19,YawErr31,"输出频率不为0,没有刹车反馈 ",偏航变频器未收到偏航刹车反馈信号,"1.强制偏航刹车打开，检查四个偏航电机微动开关是否触发。
2.检查K118.8继电器是否正常。
3.检查偏航变频器是否发出刹车打开命令。
4.偏航刹车打开信号已经反馈到偏航变频器，但是偏航变频器识别不到信号，更换变频器。
5.检查偏航刹车反馈线路是否正常。"
20,YawErr36,"变频器过热, >90°C, 可重置",变频器内部温度高于90°,"1.检查偏航变频器内部风扇是否运行。
2.更换偏航变频器。"
21,YawErr49,"初始化时,电源报错",电源识别不到初始化信号,"1.复位即可。
2.更换偏航变频器"
22,YawErr50,电源回路被改变,,"1.断电重启即可。
2.更换偏航变频器。"
23,YawErr51,驱动继电器故障,如果电源内部驱动继电器电压不能完全释放，此故障产生,"1.断电重启即可。
2.更换偏航变频器。"
24,YawErr53,PNP/NPN输入错误, 如果PNP/NPN有一个输入错误产生此故障,"1.断电重启即可。
2.更换偏航变频器。"
25,YawErr57,MFC 未启动,如果MFC未启动，产生此故障,"1.断电重启即可。
2.更换偏航变频器。"
