变频器故障代码 ,故障现象,故障原因,解决方案
1,IGBT过流,IGBT硬件保护,"查看对应驱动板上的红色发光二极管是否点亮。红色二极管点亮的解决措施：
（1）检查检测板到驱动板之间的排线极性是否正确，是否有松动——更换或插紧排线；
（2）检查网侧功率模块驱动板与IGBT 之间的驱动线是否松动——插紧驱动线；
（3）检查驱动板外观，看是否有毁坏的痕迹，确认驱动板是否损坏——更换驱板；
（4）检查IGBT 模块是否损坏——更换损坏的IGBT 模块；红色发光二极管没有点亮的解决措施：说明是干扰造成的，检查系统接地是否良好；控制板与检测板之间的连线是否连接完好。"
2,驱动板连接错误,信号处理板与功率模块的排线连接异常,（1）检查信号处理板与功率模块之间的排线P11A、P11B、P11C 是否松动或没有插好——插紧网侧信号处理板排线                             
3,母线硬件过压,母线电压超过系统硬件设,"（1）确认系统是否有故障造成母线过压
（2）检查母线采样线是否正确及可靠连接；"
4,辅助电源故障,辅助电源的+15V 低于+12V 或辅助电源的-15V高于-12V,"（1）检查信号处理板P10 端口的供电电源是否超出范围——修复供电电源；
（2）检查辅助电源板到检测板间的电源线是否连接正确可靠；
（3）检查控制板到检测板的排线是否有松动——插紧排线；
（4）检查检测板是否工作正常——更换检测板"
5,A相硬件过流,A相电流峰值超过硬件过流点,"（1）确认系统是否有故障造成系统过流；
（2）检查网侧电流采样线极性是否正确及可靠连接——更换或插紧采样线；
（3）检查检测板是否工作正常——更换检测板                     "
6,B相硬件过流,B相电流峰值超过硬件过流点,"（1）确认系统是否有故障造成系统过流；
（2）检查网侧电流采样线极性是否正确及可靠连接——更换或插紧采样线；
（3）检查检测板是否工作正常——更换检测板                     "
7,C相硬件过流,C相电流峰值超过硬件过流点,"（1）确认系统是否有故障造成系统过流；
（2）检查网侧电流采样线极性是否正确及可靠连接——更换或插紧采样线；
（4）检查检测板是否工作正常——更换检测板"
8,硬件故障总标志,网侧发生硬件故障时产生此故障,（1）如果变频器发生硬件故障，则会伴随产生此故障。将其他硬件故障处理后，此故障消除。
9到17,保留,变频器不产生此故障代码,（1）如果产生此故障，更新PLC程序
18,RAM自检失败,控制板RAM芯片读写发生错误,（1）更换网侧DSP板
19,EEPROM读写错误,EEPROM读写错误,（1）通过固化默认参数将参数恢复到默认设置，然后清除故障，如果故障可以被清除，则EEPROM硬件芯片没有问题，用户只需要再次设置参数到特定值即可，否则更换DSP板
