id,source,target,type,weight,evidence,properties
"mechanism:pitch-24v-feedback-loss->BELONGS_TO_SYSTEM->system:4c37a1152ef3","mechanism:pitch-24v-feedback-loss","system:4c37a1152ef3","BELONGS_TO_SYSTEM","1","[""变桨系统""]","{""evidence"":""变桨系统""}"
"mechanism:pitch-hydraulic-pressure-loss->BELONGS_TO_SYSTEM->system:4c37a1152ef3","mechanism:pitch-hydraulic-pressure-loss","system:4c37a1152ef3","BELONGS_TO_SYSTEM","1","[""变桨系统""]","{""evidence"":""变桨系统""}"
"mechanism:pitch-actuator-position-error->BELONGS_TO_SYSTEM->system:4c37a1152ef3","mechanism:pitch-actuator-position-error","system:4c37a1152ef3","BELONGS_TO_SYSTEM","1","[""变桨系统""]","{""evidence"":""变桨系统""}"
"mechanism:converter-dc-link-grid-disturbance->BELONGS_TO_SYSTEM->system:c763cf2eda0d","mechanism:converter-dc-link-grid-disturbance","system:c763cf2eda0d","BELONGS_TO_SYSTEM","1","[""变流系统""]","{""evidence"":""变流系统""}"
"mechanism:converter-control-communication-loss->BELONGS_TO_SYSTEM->system:c763cf2eda0d","mechanism:converter-control-communication-loss","system:c763cf2eda0d","BELONGS_TO_SYSTEM","1","[""变流系统""]","{""evidence"":""变流系统""}"
"mechanism:generator-bearing-thermal-lubrication->BELONGS_TO_SYSTEM->system:3b38f224d81f","mechanism:generator-bearing-thermal-lubrication","system:3b38f224d81f","BELONGS_TO_SYSTEM","1","[""发电机系统""]","{""evidence"":""发电机系统""}"
"mechanism:gearbox-bearing-gear-wear->BELONGS_TO_SYSTEM->system:ef0bc1540cb3","mechanism:gearbox-bearing-gear-wear","system:ef0bc1540cb3","BELONGS_TO_SYSTEM","1","[""齿轮箱系统""]","{""evidence"":""齿轮箱系统""}"
"mechanism:yaw-drive-brake-limit->BELONGS_TO_SYSTEM->system:bfc8eeb8b8f4","mechanism:yaw-drive-brake-limit","system:bfc8eeb8b8f4","BELONGS_TO_SYSTEM","1","[""偏航系统""]","{""evidence"":""偏航系统""}"
"mechanism:thermal-management-sensor-chain->BELONGS_TO_SYSTEM->system:8c1bbba6e634","mechanism:thermal-management-sensor-chain","system:8c1bbba6e634","BELONGS_TO_SYSTEM","1","[""温度系统""]","{""evidence"":""温度系统""}"
"mechanism:plc-io-feedback-chain->BELONGS_TO_SYSTEM->system:3b38804e36bc","mechanism:plc-io-feedback-chain","system:3b38804e36bc","BELONGS_TO_SYSTEM","1","[""主控系统""]","{""evidence"":""主控系统""}"
"mechanism:rotor-blade-imbalance-damage->BELONGS_TO_SYSTEM->system:8e6c7cdd3b2a","mechanism:rotor-blade-imbalance-damage","system:8e6c7cdd3b2a","BELONGS_TO_SYSTEM","1","[""叶轮系统""]","{""evidence"":""叶轮系统""}"
"mechanism:safety-chain-emergency-stop->BELONGS_TO_SYSTEM->system:ae79eda0aad0","mechanism:safety-chain-emergency-stop","system:ae79eda0aad0","BELONGS_TO_SYSTEM","1","[""安全链系统""]","{""evidence"":""安全链系统""}"
"mechanism:main-shaft-bearing-lubrication-load->BELONGS_TO_SYSTEM->system:aa818f28535b","mechanism:main-shaft-bearing-lubrication-load","system:aa818f28535b","BELONGS_TO_SYSTEM","1","[""传动系统""]","{""evidence"":""传动系统""}"
"mechanism:mechanical-brake-pressure-friction->BELONGS_TO_SYSTEM->system:89011645bab6","mechanism:mechanical-brake-pressure-friction","system:89011645bab6","BELONGS_TO_SYSTEM","1","[""制动系统""]","{""evidence"":""制动系统""}"
"mechanism:hydraulic-station-pump-accumulator-valve->BELONGS_TO_SYSTEM->system:51198095738b","mechanism:hydraulic-station-pump-accumulator-valve","system:51198095738b","BELONGS_TO_SYSTEM","1","[""液压系统""]","{""evidence"":""液压系统""}"
"mechanism:cooling-water-loop-flow-temperature->BELONGS_TO_SYSTEM->system:18dc67c7dd17","mechanism:cooling-water-loop-flow-temperature","system:18dc67c7dd17","BELONGS_TO_SYSTEM","1","[""水冷系统""]","{""evidence"":""水冷系统""}"
"mechanism:lubrication-system-flow-grease-oil->BELONGS_TO_SYSTEM->system:8c52b21d0898","mechanism:lubrication-system-flow-grease-oil","system:8c52b21d0898","BELONGS_TO_SYSTEM","1","[""润滑系统""]","{""evidence"":""润滑系统""}"
"mechanism:communication-network-loss->BELONGS_TO_SYSTEM->system:99c78a2d4286","mechanism:communication-network-loss","system:99c78a2d4286","BELONGS_TO_SYSTEM","1","[""通信系统""]","{""evidence"":""通信系统""}"
"mechanism:grid-transformer-protection->BELONGS_TO_SYSTEM->system:a661c9b6aef0","mechanism:grid-transformer-protection","system:a661c9b6aef0","BELONGS_TO_SYSTEM","1","[""电网系统""]","{""evidence"":""电网系统""}"
"mechanism:sensor-measurement-chain-drift-fault->BELONGS_TO_SYSTEM->system:110ca513c2a9","mechanism:sensor-measurement-chain-drift-fault","system:110ca513c2a9","BELONGS_TO_SYSTEM","1","[""传感器系统""]","{""evidence"":""传感器系统""}"
"mechanism:yaw-cable-twist-position-limit->BELONGS_TO_SYSTEM->system:bfc8eeb8b8f4","mechanism:yaw-cable-twist-position-limit","system:bfc8eeb8b8f4","BELONGS_TO_SYSTEM","1","[""偏航系统""]","{""evidence"":""偏航系统""}"
"mechanism:nacelle-tower-vibration-structural-load->BELONGS_TO_SYSTEM->system:6b6776342e6c","mechanism:nacelle-tower-vibration-structural-load","system:6b6776342e6c","BELONGS_TO_SYSTEM","1","[""机舱与塔架系统""]","{""evidence"":""机舱与塔架系统""}"
"mechanism:environment-lightning-grounding-surge->BELONGS_TO_SYSTEM->system:bf3c1fb82d8c","mechanism:environment-lightning-grounding-surge","system:bf3c1fb82d8c","BELONGS_TO_SYSTEM","1","[""电气保护系统""]","{""evidence"":""电气保护系统""}"
"mechanism:scada-data-quality-alarm-correlation->BELONGS_TO_SYSTEM->system:3b38804e36bc","mechanism:scada-data-quality-alarm-correlation","system:3b38804e36bc","BELONGS_TO_SYSTEM","1","[""主控系统""]","{""evidence"":""主控系统""}"
"causal_factor:ca0fb38e1934->CAN_TRIGGER->mechanism:pitch-24v-feedback-loss","causal_factor:ca0fb38e1934","mechanism:pitch-24v-feedback-loss","CAN_TRIGGER","1","[""变桨24V控制电源或开关反馈丢失""]","{""evidence"":""变桨24V控制电源或开关反馈丢失""}"
"causal_factor:88aa945a69aa->CAN_TRIGGER->mechanism:pitch-24v-feedback-loss","causal_factor:88aa945a69aa","mechanism:pitch-24v-feedback-loss","CAN_TRIGGER","1","[""变桨24V控制电源或开关反馈丢失""]","{""evidence"":""变桨24V控制电源或开关反馈丢失""}"
"causal_factor:27f631fd8d46->CAN_TRIGGER->mechanism:pitch-24v-feedback-loss","causal_factor:27f631fd8d46","mechanism:pitch-24v-feedback-loss","CAN_TRIGGER","1","[""变桨24V控制电源或开关反馈丢失""]","{""evidence"":""变桨24V控制电源或开关反馈丢失""}"
"causal_factor:b38f64eb8644->CAN_TRIGGER->mechanism:pitch-24v-feedback-loss","causal_factor:b38f64eb8644","mechanism:pitch-24v-feedback-loss","CAN_TRIGGER","1","[""变桨24V控制电源或开关反馈丢失""]","{""evidence"":""变桨24V控制电源或开关反馈丢失""}"
"causal_factor:1b246474e2b0->CAN_TRIGGER->mechanism:pitch-24v-feedback-loss","causal_factor:1b246474e2b0","mechanism:pitch-24v-feedback-loss","CAN_TRIGGER","1","[""变桨24V控制电源或开关反馈丢失""]","{""evidence"":""变桨24V控制电源或开关反馈丢失""}"
"causal_factor:899709b342e6->CAN_TRIGGER->mechanism:pitch-hydraulic-pressure-loss","causal_factor:899709b342e6","mechanism:pitch-hydraulic-pressure-loss","CAN_TRIGGER","1","[""液压变桨压力不足或蓄能能力下降""]","{""evidence"":""液压变桨压力不足或蓄能能力下降""}"
"causal_factor:b3f0c705666d->CAN_TRIGGER->mechanism:pitch-hydraulic-pressure-loss","causal_factor:b3f0c705666d","mechanism:pitch-hydraulic-pressure-loss","CAN_TRIGGER","1","[""液压变桨压力不足或蓄能能力下降""]","{""evidence"":""液压变桨压力不足或蓄能能力下降""}"
"causal_factor:2d644d4b17ea->CAN_TRIGGER->mechanism:pitch-hydraulic-pressure-loss","causal_factor:2d644d4b17ea","mechanism:pitch-hydraulic-pressure-loss","CAN_TRIGGER","1","[""液压变桨压力不足或蓄能能力下降""]","{""evidence"":""液压变桨压力不足或蓄能能力下降""}"
"causal_factor:625c073125ce->CAN_TRIGGER->mechanism:pitch-hydraulic-pressure-loss","causal_factor:625c073125ce","mechanism:pitch-hydraulic-pressure-loss","CAN_TRIGGER","1","[""液压变桨压力不足或蓄能能力下降""]","{""evidence"":""液压变桨压力不足或蓄能能力下降""}"
"causal_factor:f73311262c89->CAN_TRIGGER->mechanism:pitch-hydraulic-pressure-loss","causal_factor:f73311262c89","mechanism:pitch-hydraulic-pressure-loss","CAN_TRIGGER","1","[""液压变桨压力不足或蓄能能力下降""]","{""evidence"":""液压变桨压力不足或蓄能能力下降""}"
"causal_factor:877fc1bbe0a5->CAN_TRIGGER->mechanism:pitch-actuator-position-error","causal_factor:877fc1bbe0a5","mechanism:pitch-actuator-position-error","CAN_TRIGGER","1","[""变桨执行机构卡滞或位置反馈异常""]","{""evidence"":""变桨执行机构卡滞或位置反馈异常""}"
"causal_factor:d61207774b17->CAN_TRIGGER->mechanism:pitch-actuator-position-error","causal_factor:d61207774b17","mechanism:pitch-actuator-position-error","CAN_TRIGGER","1","[""变桨执行机构卡滞或位置反馈异常""]","{""evidence"":""变桨执行机构卡滞或位置反馈异常""}"
"causal_factor:c36014b81cfe->CAN_TRIGGER->mechanism:pitch-actuator-position-error","causal_factor:c36014b81cfe","mechanism:pitch-actuator-position-error","CAN_TRIGGER","1","[""变桨执行机构卡滞或位置反馈异常""]","{""evidence"":""变桨执行机构卡滞或位置反馈异常""}"
"causal_factor:1ee35186a9b9->CAN_TRIGGER->mechanism:pitch-actuator-position-error","causal_factor:1ee35186a9b9","mechanism:pitch-actuator-position-error","CAN_TRIGGER","1","[""变桨执行机构卡滞或位置反馈异常""]","{""evidence"":""变桨执行机构卡滞或位置反馈异常""}"
"causal_factor:31c039b47635->CAN_TRIGGER->mechanism:pitch-actuator-position-error","causal_factor:31c039b47635","mechanism:pitch-actuator-position-error","CAN_TRIGGER","1","[""变桨执行机构卡滞或位置反馈异常""]","{""evidence"":""变桨执行机构卡滞或位置反馈异常""}"
"causal_factor:aa13d6404073->CAN_TRIGGER->mechanism:converter-dc-link-grid-disturbance","causal_factor:aa13d6404073","mechanism:converter-dc-link-grid-disturbance","CAN_TRIGGER","1","[""变流器直流母线或电网电压扰动""]","{""evidence"":""变流器直流母线或电网电压扰动""}"
"causal_factor:12b0f42087d8->CAN_TRIGGER->mechanism:converter-dc-link-grid-disturbance","causal_factor:12b0f42087d8","mechanism:converter-dc-link-grid-disturbance","CAN_TRIGGER","1","[""变流器直流母线或电网电压扰动""]","{""evidence"":""变流器直流母线或电网电压扰动""}"
"causal_factor:25480117ec75->CAN_TRIGGER->mechanism:converter-dc-link-grid-disturbance","causal_factor:25480117ec75","mechanism:converter-dc-link-grid-disturbance","CAN_TRIGGER","1","[""变流器直流母线或电网电压扰动""]","{""evidence"":""变流器直流母线或电网电压扰动""}"
"causal_factor:6c0f93a7237b->CAN_TRIGGER->mechanism:converter-dc-link-grid-disturbance","causal_factor:6c0f93a7237b","mechanism:converter-dc-link-grid-disturbance","CAN_TRIGGER","1","[""变流器直流母线或电网电压扰动""]","{""evidence"":""变流器直流母线或电网电压扰动""}"
"causal_factor:901ee1b2baf6->CAN_TRIGGER->mechanism:converter-dc-link-grid-disturbance","causal_factor:901ee1b2baf6","mechanism:converter-dc-link-grid-disturbance","CAN_TRIGGER","1","[""变流器直流母线或电网电压扰动""]","{""evidence"":""变流器直流母线或电网电压扰动""}"
"causal_factor:6c907db5a38e->CAN_TRIGGER->mechanism:converter-control-communication-loss","causal_factor:6c907db5a38e","mechanism:converter-control-communication-loss","CAN_TRIGGER","1","[""变流器控制板或通信链路中断""]","{""evidence"":""变流器控制板或通信链路中断""}"
