故障代码,故障解释,故障原因,解决方案,故障属性,故障类型
513,变频器检测电网波动,变频器检测到电网过压、欠压、频率过高、频率过低或电压不平衡。,"1.查看变频器菜单中的子故障，判断具体原因。
2.查询风机监控软件记录的波形数据，检查故障时刻电网是否波动（如电压突变、频率突变或三相不平衡的情况）。如波动后又恢复正常，经业主同意后可直接复位启机并网；如波动后不能恢复正常，询问业主电网是否存在未解决的问题。
3.如果电网实际电压正常，但风机显示的电网电压异常，检查变频器测量电网电压回路的线路及器件是否松动或异常（如：网侧8A/16A保险是否损坏）。",bachmann PLC故障,变流器
515,预留,,,bachmann PLC故障,
516,变频器复位超时,PLC与变频器CAN通讯发生故障,"1.重新下载或更新PLC程序，将nvram0文件夹中除rtn外的文件删除再下载程序，然后重启PLC。
2.检查变频器至PLC模块CM202之间的CAN通讯线路、插头是否松动。
3.更换PLC模块CM202，更换时注意拨码开关全部处于off状态。",bachmann PLC故障,看门狗
517,预留,,,bachmann PLC故障,
518,变桨软件版本错误,变桨变频器软件版本存在问题,1.检查变桨变频器软件版本是否与PLC匹配。,bachmann PLC故障,版本检查
519,偏航软件版本错误,偏航软件版本与程序定义版本不一致,"1.检查偏航变频器程序是否与PLC匹配。
2.联系相关技术负责人，告知偏航程序版本号及PLC程序版本号。",bachmann PLC故障,版本检查
520,在初始化轮毂不能到达停止状态,初始化轮毂在35秒内未达到停止状态,"1.检查变桨状态是否在停止状态。
2.检查接近开关安装距离及反馈信号是否正常。
3.检查是否滑桨。
4.如果划桨，检查变桨制动器供电继电器是否损坏，检查变桨电机刹车扭矩是否满足要求。",bachmann PLC故障,初始化状态机
521,机舱PLC无通信,M-PLC与机舱PLC之间无通讯,"1.检查塔基至机舱的通讯光纤是否正常。
1.检查机舱PLC模块供电及运行是否正常。",bachmann PLC故障,其它
522,无法找到机舱零位,机舱初始化状态偏航寻找零位超过24000秒,"1.检查凸轮开关反馈信号线路是否松动。
2.检查凸轮开关工作是否正常。",bachmann PLC故障,初始化状态机
523,SS-0保险断开,保险下端接地或绝缘不够，保险裕量不够,"1.检查F230.6保险下端是否接地，如有接地需先处理好接地问题。
2.如果运行中F230.6保险烧坏（特别是雷雨天气），且线路无接地，检查F230.6熔丝是否小于5A，若是需更换为5A熔丝。
3.PM3000W变频器机组更改组合继电器接线方式，复位电源由继电器本身提供。而不是由F230.6提供，参考F230.6技改说明。",bachmann PLC故障,安全链
524,SS-1急停按扭,PLC接收不到组合继电器闭合反馈信号,"1.如果与Err615、Err616、Err617中的一个或多个同时报出，检查是否有急停按钮拍下或损坏。
2.如果单报Err524无法复位，检查急停及复位回路，寻找是否存在断点或线路松动问题。
3.检查急停复位线圈回路24V电压，如果低于20Vdc，则检查浪涌等器件是否正常，如绝缘异常、串电压等。
4.检查多功能继电器K230.3是否有问题。
5.低穿技改后如果单报Err524，且报完后自动转服务模式，可能是K230.3：Y32口输出不稳定，可将线改回到K230.3：34口。
6.若故障能够复位，但频繁发生，且以上原因都排除，则可采用排除法，将急停回路逐一短接，检查确定是否有线路或器件异常。",bachmann PLC故障,安全链
525,SS-5机侧变频器断开安全链,系统检测到发电机超速,"1.检查编码器固定是否正常。
2.检查编码器至变频器间通讯线及插头是否松动或工作异常。
3.检查变频器到超速继电器及PLC之间的线路是否松动。
4.检查编码器供电电源是否稳定。
5.断开检查编码器外壳对地电阻，正常为无穷大。
6.检查发电机振动、噪音是否较大（如天元电机轴承不好引起噪音和振动，导致转速信号突变）。
7.检查发电机与齿轮箱之间的联轴器是否固定松动。
8.检查发电机编码器及固定是否有问题，天元电机早期使用的小编码器安装工艺有问题，建议更换为永济电机使用的大编码器（莱纳林德厂家）。
9.如果阵风引起，检查程序版本是否较旧。
10.检查叶片零位是否校正准确。
11.检查变频器测速版是否正常。",bachmann PLC故障,安全链
526,SS-6震动传感器,发电机底部振动传感器回路触发,"1.检查发电机底部振动传感器及其回路。
2.检查机组实际振动。",bachmann PLC故障,安全链
527,SS-7叶轮超速,叶轮转速突变或超过限制值,"1.检查NCC310-K228.6继电器触点至PLC之间的线路是否松动。
2.检查NCC310-K228.6继电器是否正常。",bachmann PLC故障,安全链
528,SS-8看门狗,PLC DI232模块A240.1的I14端口收不到反馈信号,"1.如果NCC310柜门自动/手动 钥匙在手动位置，则服务模式下转速高于500rpm时会产生此故障。将自动/手动 钥匙转到自动即可。
2.检查NCC310-K246.1继电器是否工作正常。
3.如果与Err552、Err555、Err558同时报出，检查滑环上-X4通道6号线路上的电线连接及线路上的所有浪涌保护器，检查X4插头上7号线路是否正常接地。",bachmann PLC故障,安全链
529,SS-9刹车位置,PLC DI232模块A240.1的I15端口收不到反馈信号,"1.检查制动器开/关传感器线路及液压油位是否正常。
2.检查继电器NCC310-K228.8是否正常。
3.检查继电器NCC310-K228.8至DI232模块 A240.1的15号端口线路是否松动。",bachmann PLC故障,安全链
530,SS-10超出工作位置,PLC DI232模块A240.1的I21端口收不到反馈信号,"1.检查PLC检测Err18故障的端口（working position）-浪涌-滑环-轮毂柜-限位开关-滑环-F238.2之间相关线路及器件是否有问题。
2.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动,否则容易导致高转速下频报故障）。
3.检查程序中变桨减速机的减速比是否选择正确。
4.检查叶片限位开关是否安装/调节正确，正常是变桨到-4度左右才触发限位开关。",bachmann PLC故障,安全链
531,轮毂驱动/转速高时报；瞬间断开；频报或无法复位,PLC DI232模块A240.1的I22端口收不到反馈信号,"1.安全链回路监测Err19故障的PLC端口—浪涌F238.2-滑环-轮毂柜之间的相关线路是否断开或松动。
2.检查轮毂柜内接触器K26.5、 K36.5、 K46.5是否吸合，如未吸合检查线圈供电的230V-L、N回路线路是否正常。 
3.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动，否则容易导致高转速下频报故障）。                             ",bachmann PLC故障,安全链
532,SS-12存储继电器不能复位,PLC DI232模块A240.1:23端口收不到反馈信号,"1.如果复位其他故障时产生，只需复位或间隔8s左右再复位即可。
2.如果单报此故障，检查24V继电器K228.5、K246.2是否正常，大多数情况只是线圈部分损坏，此时可单独换线圈，无需更换底座。
3.检查K228.5、K246.2至PLC模块A240.1：23端口线路是否正常。",bachmann PLC故障,安全链
533,柜内24V保险,PLC DI280模块A242.1:69（i24Fus001）端口收不到反馈信号,"1.检查F217.4保险至PLC DI280模块A242.1-I29（i24Fus001）端口线路是否正常。
2.检查F217.4保险是否烧坏，如果F217.4保险烧坏，检查保险下端回路是否存在接地点（如：机械锁线圈阻值偏低等）。",bachmann PLC故障,控制柜
534,柜外24V保险,PLC DI232模块A241.1:8（i24Fus002）端口收不到反馈信号,"1.检查NCC310柜内F222.5至DI232模块A241.1：8端口的线路是否正常。
2.检查NCC310柜内F222.5保险是否烧坏，如果烧坏，保险下端是否接地。
3.如果打雷引起NCC310柜内F222.5保险烧坏，重点检查制动器压力开关、凸轮编码器是否击穿，电源有无接地。
4.如果油泵启动瞬间烧坏F222.5保险，检查油过滤压力传感器是否正常。",bachmann PLC故障,控制柜
535,变频器不在CAN总线上,状态机不在PLC停止状态、PLC初始化状态、PLC自检状态或变频器复位状态时，变频器与主PLC之前通讯中断。,"1.检查变频器至PLC模块A239.5（CM202）的CAN1插头之间的CAN通讯线及终端电阻是否正常。
2.检查变频器上电源板指示灯是否正常、变频器供电电源是否正常，如NCC310-F352.2熔丝、继电器NCC310-K246.7是否正常。 
3.如果与Err536等变频故障一起报出，复位、重启PLC或断电复位都无法解决时，检查变频器是否存在问题。",bachmann PLC故障,变流器
536,变频器一般性故障,变频器检测到故障，具体原因参考变频器子故障,"1.检查变频器子故障，按照子故障做对应检查处理。
2.如果更换网侧接触器后启动变频器到网侧同步时报此故障，当时变频器状态为S4（Transition state，wait until line contactor is open），检查网侧接触器型号是否正确，PM3000W机组为24Vdc接触器，其他机组为230Vac接触器。
3.检查网侧接触器吸合及反馈是否正常。
4.如果与Err541等同时报出，检查水冷滤波电阻及350A保险是否正常，如需更换水冷滤波板或滤波电阻，务必要均匀涂上导热硅胶，且固定螺丝必须拧紧，最好选用长度及螺纹一致的内六角螺丝固定。
5.如果并网后不久变频器状态跳到S60,之后又跳到同步检测状态，然后报Err671或Err536故障，检查发电机编码器及固定接线是否正常，此类情况，无法从SCADA监控软件或50ms Trace数据分辨异常转速。
6.如果与Err535同时报出，检查变频器是否正常。
7.如果测试变频器时烧滤波电阻，检查网侧电抗是否正常。",bachmann PLC故障,变流器
537,变频器请求功率与实际功率不等,实测功率与变频器理论功率偏差过大；电流互感器接线错误。,"1.检查三相电网电流是否平衡。
2.检查显示的三相电网电流与实际值是否相符（钳流表测得单根150电缆上的电流为面板显示电网相电流的1/5左右）。
3.检查电流互感器至变频器之间的接线是否有问题、顺序是否正确PM3000机组的图纸中，NCC300柜内电流互感器到变频器J26口接线是错误的，正确的为S1（1-cur-trans-a）接-V308.2-J26的2#口、S2（1-cur-trans-b）接-V308.2-J26的1#口；S1（2-cur-trans-a）接-V308.2-J26的4#口、S2（2-cur-trans-b）接-V308.2-J26的3#口；S1（3-cur-trans-a）接-V308.2-J26的6#口、S2（3-cur-trans-b）接-V308.2-J26的5#口。
4.如果功率时正时负波动大，检查发电机编码器及固定是否有问题。
5.检查网侧变频器电流检测板。
6.更换网侧变频器。",bachmann PLC故障,
538,风速仪24V保险,PLC DI280模块A242.1:17（i24Fus003）端口收不到反馈信号,1.检查是否有风速显示，如无风速，检查风速仪供电保险是否烧坏，保险在09年12月以后的图纸中已经改到4-5A，如保险烧坏，检查保险下端是否存在接地点，风速仪工作时使用钳流表测量保险流过的最大电流。如有风速，检查风速仪保险至DI280模块A242.1:17（i24Fus003）的反馈线路是否松动。,bachmann PLC故障,控制柜
541,网侧接触器690V保险,DIO280模块A242.1：19（i690Fus）端口收不到反馈信号,"1.检查NCC300-F102.2/3/4至DIO280模块A242.1：19（i690Fus）端口线路是否正常。（检查时需断开690V电源）。
2.检查NCC300柜内网侧350A保险（-F102.2/3/4）及反馈触点是否正常（检查时需断开690V电源）
3.如果350A保险烧坏，检查网侧接触器是否粘连或绝缘不够。检查滤波回路1欧姆电阻是否正常，如损坏，更换水冷滤波板或滤波电阻时，务必要均匀涂上导热硅胶，且固定螺丝必须拧紧，最好选用长度及螺纹一致的内六角螺丝固定。（原先梅花螺丝不易拧紧）。检查350A保险后端器件及电缆绝缘性，如是否存在电缆表皮磨破等问题。检查DBR电阻及线路是否正常。
4.如果与Err536、535等同时报出，检查变频器IGBT是否击穿。",bachmann PLC故障,控制柜
542,24V辅助电源保险,DIO280模块A242.1：18（i24Fus4）端口收不到反馈信号,"1.检查F230.4至DIO280模块A242.1：18（i24Fus4）线路是否正常。
2.检查F230.4保险(3.15A)是否正常,若保险烧坏，检查保险后端是否接地。",bachmann PLC故障,控制柜
543,变桨1通讯,变桨1变频器与PLC间通讯中断,"1.如有变桨子故障，参考变桨故障处理手册。
2.如果Lenze系统做Crowbar测试报，检查Crowbar测试时，24V电源是否下降很大（如：降到13V左右），导致变桨变频器电源瞬间供电不足。
3.如果一偏航就报，检查偏航启动时，变桨通讯线缆CAN—H与CAN—L间的电阻跳变，正常为120欧姆。如果跳变，分段检查问题产生点。
4.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。
5.检查PLC的CAN通讯接口到偏航变频器CAN口、变桨1变频器CAN之间的线路是否松动。
6.检查偏航变频器、变桨变频器CAN插头上的屏蔽线是否连接正常。",bachmann PLC故障,看门狗
544,变桨2通讯,变桨2变频器与PLC间通讯中断,"1.如有变桨子故障，参考变桨故障处理手册。
2.如果Lenze系统做Crowbar测试报，检查Crowbar测试时，24V电源是否下降很大（如：降到13V左右），导致变桨变频器电源瞬间供电不足。
3.如果一偏航就报，检查偏航启动时，变桨通讯线缆CAN—H与CAN—L间的电阻跳变，正常为120欧姆。如果跳变，分段检查问题产生点。
4.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。
5.检查PLC的CAN通讯接口到偏航变频器CAN口、变桨2变频器CAN之间的线路是否松动。
6.检查偏航变频器、变桨变频器CAN插头上的屏蔽线是否连接正常。",bachmann PLC故障,看门狗
545,变桨3通讯,变桨3变频器与PLC间通讯中断,"1.如有变桨子故障，参考变桨故障处理手册。
2.如果Lenze系统做Crowbar测试报，检查Crowbar测试时，24V电源是否下降很大（如：降到13V左右），导致变桨变频器电源瞬间供电不足。
3.如果一偏航就报，检查偏航启动时，变桨通讯线缆CAN—H与CAN—L间的电阻跳变，正常为120欧姆。如果跳变，分段检查问题产生点。
4.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。
5.检查PLC的CAN通讯接口到偏航变频器CAN口、变桨3变频器CAN之间的线路是否松动。
6.检查偏航变频器、变桨变频器CAN插头上的屏蔽线是否连接正常。",bachmann PLC故障,看门狗
546,SS-2叶轮超速刹车,PLC DI232模块A240.1:12（iSafBraSpe）端口收不到反馈信号,"1.检查滑环是否固定良好、支撑杆是否松动、万向节活动是否灵活、与齿轮箱连接的支撑杆是否在齿轮箱侧加装30mm螺母。
2.检查滑环编码器到机舱控制柜间的接线是否松动。
3.检查制动器间隙是否正常、制动盘是否摩刹车片。
4.检查滑环编码器及其供电是否有问题。
5.检查轮毂超速继电器、设置值及接线是否正常。",bachmann PLC故障,安全链
547,SS-3所有叶片错误,PLC DI232模块A240.1:13（ISafBraHub）端口收不到反馈信号,"1.检查PLC Err35故障检测端口（all 3 blades error）-浪涌-滑环-轮毂柜-滑环-浪涌回路线路及器件是否正常。 
2.检查轮毂柜内K25.7/K35.7/K45.7是否正常
3.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。",bachmann PLC故障,安全链
