故障代码,故障描述/现象,故障原因,解决方案
513,变频器检查到电网波动,电网电压波动,1.检查电网电压是否波动。2.检查电网电压是否正常。
516,"只有断电或重启PLC才能复位,与23一起报且23能复位。",主PLC的CAN-Open问题,1.重传主PLC的CAN-Open协议；2.更换主PLC
518,变桨软件版本错误,变桨变频器软件版本存在问题,1.检查变桨变频器软件版本是否正确。
519,偏航版本不匹配，软件参数设置故障,参数设置不当,1.修改PLC程序中参数DemYawVer为控制面板上显示的偏航版本号。                                                       
520,初始状态轮毂未达停机位置,在机组初始化状态的第三步，桨叶在工作位置状态,1.检查桨叶状态2.检查接近开关3.检查是否滑桨
522,机舱未找到零位,机舱初始化状态超过24000秒,1.检查凸轮开关调节是否正常。
523,即将并网时F230.6保险烧坏(2A),定子接触器24V控制线圈回路有接地点,1.检查变频器至定子接触器24Vdc回路是否存在接地。2.联系ABB厂家更换定子接触器电路板
523,运行中F230.6保险烧坏(3.15A)，线路无接地。雷雨天气F230.6烧坏。,F230.6熔丝容量偏小。多功能继电器复位电源供电方式不对。,1.F230.6熔丝由原先的3.15A更换为5A。2.更改多功能继电器接线方式，急停复位电源由继电器本身提供。详见F230.6技改说明。
524,急停回路断开，风机紧急停止，制动器报死,线路虚接；回路电压偏低，不到20V,1.若故障无法复位，检查整个急停回路，寻找断点。2.检查急停复位线圈回路24V电压，如果低于20Vdc，则检查浪涌等期间是否工作异常，如绝缘异常、串电压等。3.检查多功能继电器K230.3是否有问题。4.若故障能够复位，但频繁发生，且以上原因都排除，则可采用排除法，将急停回路逐一短接，检查确定是否有线路虚接或异常。
525,发电机超速,"发电机编码器故障；联轴器或测量回路线路松动；编码器外接线屏蔽不好；编码器壳体对地不绝缘（如：天元编码器联轴器安装不规范，导致编码器转轴接地）；线路松动；测速器件损坏（如：编码器，变频器测速板）；编码器供电电源不稳；编码器固定松动；电磁干扰等。
",1.检查编码器固定是否正常。2.检查编码器外接电缆屏蔽线接地电阻是否小于0.3欧（PM1000机组）。3.检查编码器至变频器间通讯线及插头是否松动或工作异常。4.检查编码器外壳对地电阻，正常为无穷大。5.检查发电机振动、噪音是否较大（如天元电机轴承不好引起噪音和振动，导致转速信号突变）6.检查发电机与齿轮箱之间的联轴器是否固定松动。7.检查变频器测速版是否正常。8.检查变频器到超速继电器及PLC之间的线路是否松动。9.检查编码器供电电源是否稳定。10.检查发电机编码器及固定是否有问题，天元电机早期使用的小编码器安装工艺有问题，建议更换为永济电机使用的大编码器（莱纳林德厂家）。11.如果阵风引起，检查程序版本是否较旧。12.检查叶片零位是否校正准确。
526,振动传感器触发,发电机底部振动传感器回路触发,1.检查发电机底部振动传感器及其回路2.检查机组实际振动
527,叶轮超速,叶轮转速突变或超过限制值,1.检查叶轮转速。2.检查NCC310-K228.6继电器是否正常。3.检查TURCK继电器是否正常。
528,安全链无法复位，PLC主站E62.09指示灯不亮 ,电气元件损坏（浪涌保护器）,1.检查滑环上-X4通道6线路上的电线连接及线路上的所有浪涌保护器2.如果NCC310柜门自动/手动 钥匙在手动位置，则服务模式下转速高于500rpm时会产生此故障。将自动/手动 钥匙转到自动即可。
528,安全链无法复位，PLC主站E62.09指示灯不亮,WTDI92/WTAI91上插头松动，或硬件损坏,1.检查WTDI92/WTAI91上插头及线路                      2.更换硬件
529,制动器报死,线路原因,1.检查制动器开/关传感器线路及液压油位是否正常。2.风机紧急停机、制动停机、制动器故障均会出现该故障号，复位即可。              
530,超越工作位置,电气元件损坏（滑环）；程序中变桨减速机减速比选错,1.叶片的工作位置应大于-1度，当叶片到达-4度时，限位开关激活，故障产生。检查限位开关回路2.滑环传输信号故障3.更正程序中变桨减速机减速比4.检查PLC检测Err18故障的端口（working position）-浪涌-滑环-轮毂柜-滑环-F238.2之间相关线路及器件是否有问题。5.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。
531,轮毂驱动/转速高时报；轮毂内K21.3等继电器不吸合或瞬间断开；频报或无法复位,电气元件质量问题（滑环）；电缆没固定好或质量问题；安全链中断,1.检查滑环上-X4通道3和4线路上的电线连接及线路上的所有浪涌保护器2.检查安全链回路F238.2-滑环-轮毂柜-滑环-PLC之间的相关线路是否断开或虚接。3.检查轮毂内接触器是否吸合。如未吸合，检查接触器线圈供电。4.检查给K21.3供电的230V-L、N回路线路是否虚接。 5.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。                             
532,运行过程中报此故障,24V继电器损坏,1.检查24V继电器是否正常，如异常，更换。2.如机组刚送电或其他故障后产生该故障，bachmann机组需要等待8秒左右才能复位该故障。
533,柜内24V保险,柜内24Vdc保险反馈异常,1.检查NCC310柜内F228.2至A240.3-EA63.03（I24Fus1）的线路是否正常。2.检查NCC310柜内F228.2保险是否有问题。3.检查F217.4保险至PLC模块i24Fus001端口线路是否正常；检查F217.4保险是否烧坏，如果F217.4保险烧坏，检查保险下端回路是否存在接地点（如：机械锁线圈阻值偏低等）。
534,柜外24V保险,柜外24Vdc保险反馈异常,1.检查NCC310柜内F222.5至A250.3-E62.08（H35）的线路是否正常。2.检查NCC310柜内F222.5保险是否有问题。3.检查NCC310柜内F222.5保险下端是否接地或短路。4.如果打雷引起NCC310柜内F222.5保险烧坏，重点检查制动器压力开关、凸轮编码器是否正常，有无接地。
536,启动变频器到网侧同步时，报此故障，当时变频器状态为S4（Transition state， wait until line contactor is open）,更换网侧接触器时，换错型号（24V的接触器被换成230V的，外形一样）,1.检查网侧接触器型号是否正确，PM3000W机组为24Vdc接触器，其他机组为230Vac接触器。2.检查网侧接触器吸合是否正常。3.检查网侧接触器反馈是否正常。
536,lsc一启动变频柜就一声巨响，同时crowbar单元0.3Ω的放电电阻烧坏。,定子接触器损坏，只给出230的电就能吸合。,1.更换定子接触器控制板或联系ABB厂家处理。
536,车间测试时总烧滤波电阻,网侧电抗问题,1.更换网侧电抗
537,变频器请求功率与实际功率不符,实测功率与变频器理论功率偏差过大,"1.检查三相电网电流是否平衡。2.检查显示的三相电网电流与实际值是否相符（钳流表测得单根150电缆上的电流为面板显示电网相电流的1/5左右）。3.检查电流互感器至变频器之间的接线是否有问题、顺序是否正确（PM3000机组的图纸中，300柜内电流互感器到变频器J26口接线是错误的，应该为1-cur-trans-a1接-V308.2-J26的2#口、1-cur-trans-b1接-V308.2-J26的1#口，2-cur-trans-a接-V308.2-J26的4#口、2-cur-trans-b接-V308.2-J26的3#口，3-cur-trans-a1接-V308.2-J26的6#口、3-cur-trans-b1接-V308.2-J26的5#口）。4.如果功率时正时负波动大，检查发电机编码器及其固定是否有问题。5.检查网侧变频器电流检测板。
6.更换网侧变频器。"
538,风速仪24V保险,PLC检测到风速仪保险无反馈,1.检查是否有风速显示，如无风速，检查风速仪供电保险是否烧坏，保险正常为4A。如有风速，检查风速仪保险信号反馈是否松动（I24Fus3）。
541,350A保险烧坏1-2个,网侧接触器相间绝缘差；网侧接触器下端电缆被网侧电抗边沿磨破。滤波回路1欧姆电阻烧坏。,1.更换网侧接触器。2.处理好电缆安装位置，做好绝缘保护。3.检查滤波回路1欧姆电阻是否正常，如损坏，更换时必须均匀涂抹导热硅胶，且固定螺丝必须拧紧（原先梅花螺丝不易拧紧，建议使用内六角螺丝紧固）。
542,安全链回路F230.4保险反馈,NCC310-F230.4至数字量模块A260.3-E10.01的24V反馈信号丢失,1.检查F230.4至数字量模块A260.3-E10.01（I24Fus4）线路是否正常。2.检查F230.4保险是否正常（ABB 2A/bachmann3.15A）。
543,变桨通讯中断,变桨变频器与PLC间通讯中断,1.如有变桨子故障，参考变桨故障处理手册。2.如果Lenze系统做Crowbar测试报，检查Crowbar测试时，24V电源是否下降很大（如：降到13V左右），导致变桨变频器电源瞬间供电不足。3.如果一偏航就报，检查偏航启动时，变桨通讯线缆CAN—H与CAN—L间的电阻跳变，正常为120欧姆。如果跳变，分段检查问题产生点。4.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。
544,变桨通讯中断,变桨变频器与PLC间通讯中断,1.如有变桨子故障，参考变桨故障处理手册。2.如果Lenze系统做Crowbar测试报，检查Crowbar测试时，24V电源是否下降很大（如：降到13V左右），导致变桨变频器电源瞬间供电不足。3.如果一偏航就报，检查偏航启动时，变桨通讯线缆CAN—H与CAN—L间的电阻跳变，正常为120欧姆。如果跳变，分段检查问题产生点。4.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。
545,变桨通讯中断,变桨变频器与PLC间通讯中断,1.如有变桨子故障，参考变桨故障处理手册。2.如果Lenze系统做Crowbar测试报，检查Crowbar测试时，24V电源是否下降很大（如：降到13V左右），导致变桨变频器电源瞬间供电不足。3.如果一偏航就报，检查偏航启动时，变桨通讯线缆CAN—H与CAN—L间的电阻跳变，正常为120欧姆。如果跳变，分段检查问题产生点。4.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。
546,制动器超速,电气元件损坏（滑环）/滑环固定不好,1.检查滑环是否固定良好、支撑杆是否松动、万向节活动是否灵活、与齿轮箱连接的支撑杆是否在齿轮箱侧加装30mm螺母。2.检查滑环编码器到机舱控制柜间的接线是否松动。3.检查制动器间隙是否正常、制动盘是否摩刹车片。4.检查滑环编码器及其供电是否有问题。5.检查轮毂超速继电器、设置值及接线是否正常。6.检查超速继电器外接1k电阻是否正常（turck）。
547,安全链断开，无法复位。直译，三个叶片均故障,安全链回路断开,1.检查PLC Err35故障检测端口（all 3 blades error）-浪涌-滑环-轮毂柜-滑环-浪涌回路线路及器件是否正常。 2.检查轮毂柜内K25.7/K35.7/K45.7是否正常3.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。
548,自检就报,.6和.7传感器的位置装反；传感器长度与制动器不匹配,1.检查制动器传感器安装位置是否正确（正确的为长杆在中间，图纸代号为S222.6；短杆在旁边且有附件杆，图纸代号为S222.7）。2.bachmann简版机组程序问题，更新PLC程序到C14.143 20120427之后版。3.更换传感器或制动器
549,机舱位置超出，偏航零位丢失,急停未拍下时，解缆保护信号触发超过2s,1.如果故障不可复位，可能偏航凸轮开关设置或调节有误，偏航左、右极限位置的触发应先于解缆位置保护，即图纸中1、2号凸轮环应先于3号凸轮环触发。建议在电缆完全垂直状态下，重新调整偏航凸轮开关。2.如果故障可复位，检查偏航电机刹车反馈回路是否有接地，导致偏航变频器20号端子无24V输出。找到接地点，处理好即可。
550,变桨1/2/3停止超时,桨叶在S3安全链停止状态中或S4正常停止状态中超时。,1.检查是否卡桨，如是扭矩高导致卡桨，加注润滑油，若不是可以更新程序。2.lenze系统报此故障可能电机刹车扭矩不够导致划桨产生，可以更新程序，如不管用，建议更换电机。3.如果卡桨不能动弹，建议拆下变桨电机，手动盘变桨轴，看是否是减速机问题。
551,变桨1/2/3寻找参考位置超时,变桨在30秒内，找不到参考位置(b变桨一直在S7-Making reference状态),1.根据《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf方案》升级优化变桨参数。2.更新PLC程序。3.如果叶片卡死，手动变桨脱离卡死位置。4.加注变桨润滑油。5.拆下变桨电机，手动盘变桨轴。
552,变桨1/2/3故障,电气元件损坏,1.检查安全链回路浪涌保护器。2.检查安全链回路继电器。3.检查安全链回路线路连接，PLC 故障检测端口（storage relay）-浪涌-滑环-轮毂柜-滑环-浪涌回路线路及器件是否正常。4.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。
