id,type,label,count
action:850ea554d574,action,2 变流器原理 块与 INU 模块对调，通过故障转移的方式确认了,9
action:c96a781d609e,action,更换 INU 流流量偏少，如图 2 所示,8
action:78f9d7504c38,action,流器 IGBT 模块故障报文，确认为 INU 2W SC 故,8
action:b6527d58235a,action,障，初步分析为 IGBT 驱动板工况不稳定，更换 INU,8
action:5341f6c2148f,action,研究采用传动链振动在线监测系统、热成像及内窥镜检查等综合诊,8
action:6fe8c7330676,action,断方法，确认故障主要由轴承复合磨损引起，表现为内圈剥落、外圈15%覆盖率损伤及滚动体凹坑，通过,8
action:f3c6e2038ad7,action,实施四级处理方案实现对故障的有效处理，为风电机组主轴维护提供了可推广的技术方案,8
action:600b0d0896f8,action,检查内部滚子和保持架时发现保支架间,8
action:b22469bb72dc,action,通过测量剥落 检查轴承支座安装未存在位移、检查固定螺栓未存,8
action:709808247c94,action,区面积与轴承接触面积比值，证实轴承已进入加速 在松动、检查齿轮箱弹性支撑正常、固定螺栓未存,8
action:704f579138e4,action,对其它部件进行检查发现,7
action:236ae17bbe6b,action,力进行了改进，通过运行观察发现 IGBT 板卡故障,7
action:9aca3e53a9f8,action,变流器 IG B T 板卡故障处理效果分析 影响[J].2021，15(11):22-33.,7
action:8ede80693535,action,模块的次数为 3 次，需单独更换 IGBT 板卡的次数 [4] 李济.风电变流器中 IGBT 常见故障分析及应对措施[J].机电信息，,7
action:6af612ade818,action,图4 现场安装通通风机实物图 再次为变压器上电进行绝缘检查时，绝缘值都比较,7
action:b12155a067ae,action,压力异常故障处理全流程解析,7
action:3fda93cc9242,action,"目前,国内外学者围绕风电机组液压系统故障诊断开 与此同时,现场测试获取了如下关键数据 ：",7
action:99e97efa1a7c,action,障的处理提供重要的理论依据和实践指导,7
action:01b4383f3dc2,action,"原理溯源及现场多维度测试,系统开展故障诊断,并提出",7
action:afabe777e8cf,action,"为后续的设备维护、故障排查和系统升级提供可靠的图纸 本研究提出的故障诊断方法和处理经验,为同类风电",7
action:2e3cafbd6165,action,"维护优化 ：将缓冲器检查工作纳入季度定期维护项目 究进一步聚焦液压系统隐蔽元件的可靠性设计问题,深入",7
action:211800d2e29a,action,"体系,制定标准化、规范化的检查作业流程和详细的检查 探索更为先进、高效的故障诊断和预防技术,为风电产业",7
action:d441241b0298,action,主轴磨损故障现场诊断与检查,7
action:5c0e0cd50a28,action,综合振动分析、热成像检测及内窥镜检查结果，,7
action:9191123919fb,action,主轴磨损故障处理,7
action:961b41f6ac91,action,应急处理措施,7
action:d73023022aed,action,在故障确认后，检修团队立即 组高海拔地区运维规范》，新增12项高海拔专项条,7
action:63ffbbc59edd,action,启动应急处理程序 ：首先实施紧急停机操作，切断 款,7
