ABB机组变桨故障代码,bachmann机组变桨故障代码,故障现象,故障原因,解决方案
30001,10001,看门狗不能复位,PLC软件错误,"1.重启PLC和变桨变频器。
2.检查PLC和变桨变频器是否正常，如不正常更换。"
30002,10002,PLC从站故障: 刹车没有打开,PLC软件错误,"1.检查变桨刹车整流桥。
2.检查安全链线路。
3.检查从站PLC和变桨变频器通讯是否正常。
4.变频器本身问题。"
30003,,风扇开关错误,PLC软件错误,"1.重启PLC和变桨变频器。
2.检查PLC和变桨变频器是否正常，如不正常更换。"
30004,,控制柜加热器开关故障,PLC软件错误,"1.重启PLC和变桨变频器。
2.检查PLC和变桨变频器是否正常，如不正常更换。"
30005,10005,PLC从站故障: 状态机出错,PLC软件错误,"1.重启PLC和变桨变频器。
2.检查PLC和变桨变频器是否正常，如不正常更换。"
,10006,变桨扭矩大时报此故障,变桨扭矩值高,"1.检查变桨扭矩是否确实大；
2.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》修改Pn65等参数。"
40000,,,,"1.重启PLC和变桨变频器。
3.检查PLC和变桨变频器是否正常，如不正常更换。"
41000,21000,看门狗,通讯问题,"1.检查通讯线路，如果报三个变桨变频器都报此故障，检查滑环及通讯线路是否损坏。
2.检查变桨变频器插头屏蔽线固定、连接是否正常。
3.断电重启。
4.更换变桨变频器控制板，更新变桨程序。
5.如果上述都不存在，更换变频器。"
42000,,,软件问题,"1.重启PLC和变桨变频器。
2.检查PLC和变桨变频器是否正常，如不正常更换。"
42001,20001,直流母线电压过高,直流母线电压超过允许值,"1.检查输入电压是否正常，检查斩波器是否损坏。
2.检查R23.2、R33.2、R43.2是否损坏。
3.重启。
4.更换变桨变频器。"
42002,20002,直流母线电压低(< 240V),直流母线电压过低,"1.检查R23.2、R33.2、R43.2是否损坏。
2.检查输入电压是否正常。"
42003,20003,单相故障 (直流母线电压有波动),,"1.检查输入电压是否正常，检查斩波器是否损坏。
2.检查R23.2、R33.2、R43.2是否损坏。
3.重启。
4.更换变桨变频器。"
42004,,过电流 (变桨电机电流偏大(> 35.6A)),电气元件质量问题（滑环）；电缆没固定好或质量问题,"1.检查变桨电机是否有问题。
2.确定变桨电机是否频繁变桨发生。
3.修改变桨参数。
4.检查接近开关位置，"
42006,20006,变频器内部过热,变桨变频器检测到内部过热,"1.检查变桨变频器内部风扇是否清洁，运行是否正常。
2.更换变桨变频器。"
42007,20007,不在过热,,此故障伴随Pit42006
42008,20008,功率模块过热 ,功率模块过热 (温度 >90°C,"1.检查变桨减速机是否损坏。
2.用手动控制盒变桨，观察变桨是否正常。
3.检查接近开关！
4.检查变桨变频器散热片是否破损或脏污。
5.更换变桨变频器。"
42009,20009,变桨电机过热,,"1.比较一下三个电机温度，检查温度过高的变桨减速机及变桨电机是否是否损坏。
2.如果卡桨，用手动控制盒变桨，观察变桨是否正常。
3.检查接近开关！
4.叶片频繁变桨所致时，优化变桨变频器参数或更新PLC程序。
5.更换变桨变频器。"
42011,20011,变桨电机不过热 (变桨电机不过热(可复归)),,"1.比较一下三个电机温度，检查温度过高的变桨减速机及变桨电机是否是否损坏。
2.如果卡桨，用手动控制盒变桨，观察变桨是否正常。
3.检查接近开关！
4.叶片频繁变桨所致时，优化变桨变频器参数或更新PLC程序。
5.复位即可。"
42012,20012,电源故障 ,电源一般故障,"1.断电重启。
2.更换变桨变频器。"
42013,20013,电源未就绪 ,电源未就绪或没被控制器识别,"1.断电重启。
2.更换变桨变频器。"
42015,20015,并联符合故障,负载分流继电器没有回升,"1.测量输入电压。
2.检查断电阻（R23.2、 R33.2、R43.2）的值应该是100欧姆。
3.更换变桨变频器。"
42016,20016,过负荷 ,过载率达到100% 不能复位,"1.检查叶片轴承及减速机。
2.检查变桨电机制动电阻。
3.用变桨控制盒变桨，是否能够变动。
4.检查接近开关是否良好。
5.更换变桨变频器。"
42017,20017,过负荷 ,过载率达到101% 能复位,"1.检查叶片轴承及减速机。
"
42019,20019,过负荷 2 ,变桨电机电流过高 >16.5A)不能复归,"1.测量电机电阻和其他比较，如果差距较大，更换变桨电机。
2.用变桨控制盒变桨，是否能够变动，并且观察改电机扭矩是否过大。
3.更换变桨变频器。"
42020,20020,没过负荷2 ,可复位,"1.检查变桨变频器三相对地绝缘电阻，绝缘阻值应足够大。                                    2.运行变桨系统，观察各个叶片的力矩值,力矩值过大，需加注变桨轴承润滑剂P.S.:凡是无法复位的变桨驱动故障，检查柜内接线之前，应先检查轮毂内所有外接电缆是否紧固。                                  3.更新变桨变频器程序。
4.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》修改Pn65等参数。"
42021,20021, EEPROM故障,,"1.断电重启。
2.更换变桨变频器。"
42022,20022,电源通讯故障,,检查变桨通讯线路。
