id,type,label,count
action:139209df62fd,action,----更换变流器通信控制板,1
action:59346f4eb7de,action,----更换相对应的控制板,1
action:817ed673bfc6,action,----紧固接线( 2 )确认主控系统是否正常运行,1
action:2c8f26c65cdf,action,----紧固接线(2)用PC机连接机侧模组风扇，确认风扇状态是否正常,1
action:f25c7a9f96e5,action,----紧固接线(3)无法排除故障,1
action:778a748a7822,action,---风扇状态异常，更换风扇(3)无法排除故障,1
action:e7d76bab52cd,action,---更换通信控制板,1
action:08e30eb26871,action,，指令正常给出，接触器不能正常闭合，更换接触器,1
action:523260439c9c,action,、联系电气风电技术支持协助现场完成电网频率波动根因排查,7
action:24163caec632,action,、联系电气风电技术支持协助现场完成三相电流不平衡根因排查,1
action:734abe9bf045,action,、联系电气风电技术支持协助现场完成三相电压不平衡根因排查,1
action:cf303b17ab04,action,、联系电气风电技术支持协助现场完成线电压低峰根因排查,3
action:773abdf3f31d,action,、联系电气风电技术支持协助现场完成线电压高峰根因排查,4
action:f4b38e9aa8c4,action,、联系电气风电技术支持协助现场完成相电流高峰根因排查,3
action:0ba55aa6e364,action,、联系电气风电技术支持协助现场完成相电压低峰根因排查,4
action:2d6300d6b380,action,、联系电气风电技术支持协助现场完成相电压高峰根因排查,3
action:4db23905799d,action,、排查AVC指令下发是否正常2)、如确认AVC指令正常现场排查机组电网低原因，解决电压低原因,1
action:6ae8a780bcf6,action,、如超发现象为程序控制整体偏差，联系电气风电技术支持,3
action:93b4e6186d4f,action,、如超发现象为信号测量跳变，则排查对应传感器及其接线,2
action:cbfcd32763a5,action,、若采集设备状态正常，确认故障时刻电网频率是否出现波动,4
action:4d8c83d7da08,action,、若采集设备状态正常，确认故障时刻电网线电压是否出现波动,3
action:579abc96ce47,action,、若采集设备状态正常，确认故障时刻电网相电压是否出现波动,4
action:0c84d1842bd7,action,、现场获取故障时刻Buffer文件并使用风讯软件分析2)、确认故障时刻电网10m有功功率是否出现超发,1
action:f9d2ca2cff52,action,、现场获取故障时刻Buffer文件并使用风讯软件分析2)、确认故障时刻电网30s有功功率是否出现超发,1
