故障代码,故障现象,故障原因,解决方案
42001,直流母排电压高,驱动器硬件保护,检查制动斩波器接线和拨码是否完好
42002,直流母排电压高,驱动器硬件保护,检测驱动器直流输入侧电压是否高于260V，如果低于260V，检查供电回路。如果高于260V，更换驱动器。
42004,过流,负载过大，驱动器硬件保护,复位即可
42008,散热器温度过高,负载过大，驱动器硬件保护,复位即可
42009,电机或变频器内部温度高,负载过大，电机硬件保护,复位即可
42012,24V供电过低,输入控制电压不稳,检查24V电源输出是否高于20V，如果低于20V，更换PULS电源，如果高于20V，检查驱动器24V输入是否高于20V，如果低于20V，检查线路，如果高于20V，更换驱动器。
42016,内部运算错误,程序问题,检测是不是最新程序，如果是，更换驱动器。
42022,通用参数设置错误,程序问题,检测是不是最新程序，如果是，更换驱动器。
42031,外部检测错误,程序问题,检测是不是最新程序，如果是，更换驱动器。
42032,编码器错误,编码器信号不正常,检查编码器接线。如果接线正常更换编码器电缆，如果仍然不行跟换驱动器，还不行更换电机。
42049,内部功率状态错误,程序问题,检测是不是最新程序，如果是，更换驱动器。
42054,速度超出检测范围,程序问题,检测是不是最新程序，如果是，更换驱动器。
42058,电机转速过高,变桨电机转速过快,检测减速机是否正常
42060,电机电缆短路,电机电缆短路,检查电机电缆接线，检查驱动器固定是否完好。
42061,电机电缆接地,电机电缆接地,检查电机电缆接线，检查驱动器固定是否完好。
42062,内部错误,程序问题,检测是不是最新程序，如果是，更换驱动器。
42063,制动斩波器过热,制动斩波器硬件保护,检查制动斩波器接线和拨码是否完好。
42064,程序错误,程序问题,检测是不是最新程序，如果是，更换驱动器。
42065,保存参数错误,程序问题,检测是不是最新程序，如果是，更换驱动器。
42066,安装参数错误,程序问题,检测是不是最新程序，如果是，更换驱动器。
42067,用户代码过多,程序问题,检测是不是最新程序，如果是，更换驱动器。
42068,电机温度传感器错误,程序问题,检测是不是最新程序，如果是，更换驱动器。
42069,编码器绝对值错误,编码器信号不正常,检查编码器接线。如果接线正常更换编码器电缆，如果仍然不行跟换驱动器，还不行更换电机。
42070,转子位置错误,程序问题,检测是不是最新程序，如果是，更换驱动器。
42071,内存错误,程序问题,检测是不是最新程序，如果是，更换驱动器。
42072,没有程序,程序问题,检测是不是最新程序，如果是，更换驱动器。
42073,散热片温度传感器错误,程序问题,检测是不是最新程序，如果是，更换驱动器。
42074,变频器内部温度传感器错误,程序问题,检测是不是最新程序，如果是，更换驱动器。
42075,内部任务错误,程序问题,检测是不是最新程序，如果是，更换驱动器。
42076,循环任务执行超时,程序问题,检测是不是最新程序，如果是，更换驱动器。
42077,循环任务错误,程序问题,检测是不是最新程序，如果是，更换驱动器。
42078,PLC中没有足够的技术单元,程序问题,检测是不是最新程序，如果是，更换驱动器。
42079,没有PLC程序载入,程序问题,检测是不是最新程序，如果是，更换驱动器。
42080,程序中调用了不支持的库函数,程序问题,检测是不是最新程序，如果是，更换驱动器。
42081,凸轮数据不可用,程序问题,检测是不是最新程序，如果是，更换驱动器。
42082,发送缓存区溢出,程序问题,检测是不是最新程序，如果是，更换驱动器。
42083,接收的报文太多,程序问题,检测是不是最新程序，如果是，更换驱动器。
42084,FLASH内存不可用,程序问题,检测是不是最新程序，如果是，更换驱动器。
42085,读取FLASH中数据时复核错误,程序问题,检测是不是最新程序，如果是，更换驱动器。
42086,FLASH中下载数据时错误,程序问题,检测是不是最新程序，如果是，更换驱动器。
42088,9374扩展IO模块通讯错误,9374模块与驱动器通讯错误,检查9374模块与驱动器的通讯线是否接对，屏蔽是否接好。检查9374模块的拨码是否正确。检查变浆变频器X4插头的DI3线路是否有松动。
