故障代码,描述,触发延时,刹车等级,偏航等级,复位模式,故障逻辑,检查
SC02_01_001,机舱柜柜门急停按钮被拍下触发了紧急停机,0s,210,100,M,"机舱柜急停按钮被按,196DI1输入口4信号为0",1.检查急停按钮触点到模块接线是否松动
SC02_01_003,PCH的振动过大继电器断开导致安全链断开,0s,200,100,M,塔架振动过大导致安全链断开,"1.如果系统处于正常并网状态且风速>12m/s可考虑外部极端阵风或风速极端变化引起,可人工复位。2.如果频繁报出可检查PCH振动传感器是否工作正常、检查机舱及塔筒连接螺栓、检查偏航阻尼制动器螺栓力矩"
SC02_01_004,过速继电器被触发导致安全链断开,0s,200,100,M,"过速继电器检测到风轮转速超过设定值过速继电器触点断开,同时181DI1输入口4信号为0","1.检查风轮转速传感器是否松动,间隙是否合适2.检查过速继电器参数是否正确3.检查过速继电器至模块接线是否松动"
SC02_01_005,PCH的SSD开关断开导致安全链断开,0s,200,100,M,"PCH检测到SSD振动加速度超过7m/s2,PCH的11#触点断开","1.手动偏航是否有金属撞击的声音,偏航噪音是否偏大2.检查偏航阻尼制动器螺栓力矩"
SC02_01_006,PCH测得的SSD震动值高于设定值,0s,100,0,M,PCH检测到SSD振动加速度超过5m/s2,"1.手动偏航是否有金属撞击的声音,偏航噪音是否偏大2.检查偏航阻尼制动器螺栓力矩"
SC02_01_007,机舱人员安全链或机器安全链没有反馈信号,120ms,100,100,M,124DI1的7通道信号为0或124DI1的8通道信号为0,"1.检查人员安全链和机械安全链是否真实断开2.如果安全链未断开,检查37K3,37K4,40K4,40K5的31、34触点是否吸合良好"
SC02_01_009,变桨系统的400V主接触器未闭合,1s,0,0,A,148DI1输入口5的信号为0,"1.检查37KM5是否吸合,未吸合检查线圈供电回路,若吸合检查13、14触点是否导通良好"
SC02_02_001,机舱柜恒温器测得温度高于设定值,T#1m,51,100,A,"机舱柜恒温器检测到机舱柜温度低于2摄氏度,124DI1输入口3的信号为0","1.查看Scada中当前机舱柜温度值,判断温度是否过低,如果过低检查机舱柜加热器是否正常工作。2.如果温度非真实过低,检查122S1是否失效"
SC02_02_003,机舱24VUPS报警,15s,51,0,A,118DI1输入口6的信号为0,1.检查112G2.1上的故障灯是否被点亮(红色LED常亮)2.检查UPS至模块接线是否松动3.检查电池熔丝是否失效
SC02_02_006,机舱24VUPS处于电池模式,T#1m,51,0,M,118DI1输入口7的信号为0,1.检查112G2.1上的电池模式灯是否被点亮(黄色LED常亮)2.检查112G2.1的供电电源是否正常3.检查UPS至模块接线是否松动
SC02_02_009,机舱柜温度高于过高设定值,T#1m,0,0,A,机舱控制柜温度(10分钟平均值)高于设定值(50℃)。,1.检查模块至PT100接线是否松动2.检查机舱柜散热风扇是否正常工作3.检查122S6温控器是否正常工作
SC02_02_010,机舱柜温度低于过低设定值,T#1m,0,0,A,机舱控制柜温度(10分钟平均值)低于设定值(-3℃)。,1.检查122S6温控器是否正常工作2.检查机舱柜加热器是否正常工作
SC02_02_011,机舱控制柜温度超过上限值,T#1m,51,0,A,机舱控制柜温度(10分钟平均值)高于设定值(52℃)。,1.检查模块至PT100接线是否松动2.检查机舱柜散热风扇是否正常工作3.检查122S6温控器是否正常工作
SC02_02_012,机舱控制柜温度超过下限值,T#1m,51,0,A,机舱控制柜温度(10分钟平均值)低于设定值(-5℃)。,1.检查122S6温控器是否正常工作2.检查机舱柜加热器是否正常工作
SC02_02_013,机舱控制柜温度过高或过低故障重复出现,T#1m,0,0,A,SC02_02_009或SC02_02_010在24h内触发了3次,"参照SC02_02_009, SC02_02_010"
SC02_02_015,机舱人工安全链或机舱机器安全链的24V电源开路,1s,100,0,M,"机舱人工安全链或机器安全链的24V电源未得电, 124DI1输入口5或124DI1输入口6的信号为0","1.检查114F5或114F7是否跳开2.37K3, 37K4, 40K4, 40K5的11和14触点导通是否良好"
SC02_02_020,机舱柜690V电源熔断器故障,100ms,51,100,M,118DI1输入口1的信号为0,1.检查110F1中是否有熔丝熔断2.检查模块到熔断器辅助触点的接线
SC02_02_021,机舱柜400V电源熔断器故障,100ms,100,100,M,118DI1输入口3的信号为0,1.检查111F1中是否有熔丝熔断2.检查模块到熔断器辅助触点的接线
SC02_02_026,机舱柜中电气滑环加热器保护空开跳开,1s,0,0,A,148DI1输入口6的信号为0,1.检查145F2是否跳开2.检查模块到开关辅助触点的接线
SC02_02_033,机舱柜加热器230V保护空开跳开,1s,0,0,A,124DI1输入口1的信号为0,"1.检查121F2或121F6是否跳开,若跳开检查散热风扇或加热器是否失效2.检查模块到121F2、121F6辅助触点的接线是否松动"
SC02_02_039,机舱柜中AC400V转DC24V电源模块的供电保护空开跳开,1s,0,0,A,118DI1输入口5的信号为0,"1.检查112Q2是否跳开,若跳开检查112G2是否失效2.检查模块到112Q2辅助触点的接线是否松动"
SC02_02_040,机舱柜中航空障碍灯230V保护空开跳开,1s,0,0,A,181DI1的5通道信号为0,"1.检查194F2是否真实跳开,检查航空灯内部是否存在短路2.检查194F2辅助触点至模块接线有无松动"
SC02_02_052,测量机舱柜温度的PT100传感器故障,5s,51,0,M,126AI1的1通道输入异常,"1.检查126AI1的1通道输入是否正常,模块是否正常2.检查PT100阻值是否正常"
SC02_02_053,测量机舱温度的PT100传感器故障,5s,51,0,M,126AI1的2通道输入异常,"1.检查126AI1的2通道输入是否正常,模块是否正常2.检查PT100阻值是否正常"
SC02_02_077,测量舱外环境温度的PT100传感器故障,5s,51,0,M,126AI1的3通道输入异常,"1.检查126AI1的3通道输入是否正常,模块是否正常2.检查PT100阻值是否正常"
SC02_04_001,风机低速端转速超过1级超速门限值,100ms,50,0,A,风机100ms平均转速超过1级超速门限值,1.检查转速传感器位置及其接线2.检查1kΩ滤波电阻是否正常3.检查186DI4模块是否失效
SC02_04_002,风机低速端转速超过2级超速门限值,T#30s,100,0,M,"风机转速超过2级超速门限值,并且发电机转速不小于0.9倍的发电机2级超速门限值","1.查看log文件确认风机是否真实超速2.检查转速传感器位置及其接线,检查1kΩ滤波电阻是否正常3.检查186DI4模块是否失效"
SC02_04_003,发电机转速高于1级超速门限值,100ms,51,0,A,发电机转速大于发电机1级超速门限值,"1.检查发电机编码器及其接线屏蔽2.检查发电机接地滑环是否光滑,接地碳刷长度是否正常3.对比高速轴转速及编码器测得转速是否存在差异,如存在检查编码器板"
SC02_04_004,发电机转速超过2级超速门限值,100ms,100,0,M,发电机转速大于发电机2级超速门限值,"1.检查发电机编码器及其接线屏蔽2.检查发电机接地滑环是否光滑,接地碳刷长度是否正常3.对比高速轴转速及编码器测得转速是否存在差异,如存在检查编码器板"
SC02_04_005,风机低速端或发电机转速高于1级超速门限值故障重复出现,100ms,100,0,M,风机低速端转速超过1级超速门限值或发电机转速超过1级超速门限值,"参照 SC02_04_001, SC02_04_003"
SC02_04_006,低速端转速与发电机转速不匹配,1.5s,100,0,M,风机满足如下所有条件:1.没有刹车程序被激活2.发电机转速高于设定值(350)3.0C_IgnoreSpeedUnequalError为false4.变频器计算得到的发电机转速和从发电机转子计算得到的转速差大于给定值。,"1.检查主轴转速传感器位置及其接线2.检查发电机接地滑环是否光滑,接地碳刷长度是否正常3.检查1kΩ滤波电阻是否正常4.对比高速轴转速及编码器测得转速是否存在差异,检查发电机编码器及接线"
SC02_04_008,发电机转速传感器故障,1s,100,0,M,风机满足如下所有条件:1.没有刹车程序被激活2.发电机转速高于设定值(350)3.0C_IgnoreSpeedUnequalError为false4.发电机转速和从转子计算得到的转速差大于给定值。,参照 SC02_04_006
SC02_04_009,低速端1号传感器故障,1s,51,0,M,"风机一秒钟平均速度值高于设定值(350),且传感器没有检测到新的脉冲",1.检查主轴转速传感器位置及其接线2.检查186DI4及传感器是否失效3.检查1kΩ滤波电阻是否正常
SC02_04_010,低速端2号传感器故障,1s,51,0,M,"风机一秒钟平均速度值高于设定值(350),且传感器没有检测到新的脉冲",1.检查主轴转速传感器位置及其接线2.检查186DI4及传感器是否失效3.检查1kΩ滤波电阻是否正常
SC02_04_012,过速继电器失效,1s,51,0,M,"风机一秒钟平均速度值高于设定值(350),过速继电器测得转速与2#转速传感器测得转速差值大于设定值(2)",1.检查主轴转速传感器位置及其接线2.检查转速传感器及过速继电器是否失效3.检查183DA11至过速继电器接线是否松动
SC02_04_013,低速端测速传感器没有产生脉冲信号,1s,51,0,M,发电机1秒钟平均转速大于400 RPM且风机低速端转速低于3 RPM。,1.检查主轴转速传感器位置及其接线2.检查186DI4及传感器是否失效3.检查1kΩ滤波电阻是否正常
SC02_04_016,风机低速端转速高于3级超速门限值,100ms,200,0,M,低速端转速超过3级超速门限值,1.检查主轴转速传感器位置及其接线2.检查186DI4及传感器是否失效3.检查1kΩ滤波电阻是否正常
SC02_04_017,发电机转速高于3级超速门限值,100ms,200,0,M,发电机速度超过3级超速门限值(2100),"1.检查发电机编码器及其接线屏蔽2.检查发电机接地滑环是否光滑,接地碳刷长度是否正常3.对比高速轴转速及编码器测得转速是否存在差异,如存在检查编码器板"
SC02_04_018,塔架水平合方向的加速度超过1级水平合方向振动门限值,T#2s,51,0,A,"不处于任一刹车模式,且风机不运行在PCH自检模式,塔架水平合方向的加速度超过1级水平合方向振动门限值","1.检查PCH传感器是否松动,重新上传参数或更换PCH厕所2.检查风机是否运行在远景核心控制器下"
SC02_04_019,塔架水平合方向的加速度超过2级水平合方向振动门限值,T#2s,100,0,M,"不处于任一刹车模式,且风机不运行在PCH自检模式,塔架水平合方向的加速度超过2级水平合方向振动门限值","1.检查PCH传感器是否松动,重新上传参数或更换PCH厕所2.检查风机是否运行在远景核心控制器下"
SC02_04_020,阵风过大保护性停机,0s,51,0,M,"塔架水平合方向1级振动故障重复出现,在1小时内“塔架水平合方向的加速度超过1级水平合方向振动门限值”故障重复出现3次",参照 SC02_04_018
SC02_04_021,塔架前后方向的加速度高于1级振动门限值,T#2s,0,0,A,"不处于任何刹车模式,且风机不运行在PCH自检模式,塔架前后振动方向的加速度超过1级前后方向振动门限值","1.检查PCH传感器是否松动,重新上传参数或更换PCH厕所2.检查风机是否运行在远景核心控制器下"
SC02_04_022,塔架前后方向的加速度高于2级振动门限值,T#2s,100,0,M,"不处于任何刹车模式,且风机不运行在PCH自检模式,塔架前后振动方向的加速度超过2级前后方向振动门限值","1.检查PCH传感器是否松动,重新上传参数或更换PCH厕所2.检查风机是否运行在远景核心控制器下"
SC02_04_023,阵风过大保护性停机,0s,51,0,M,塔架前后方向1级振动故障重复出现(1小时内3次),参照 SC02_04_021
SC02_04_038,PLC重启时发电机转速高于上限值,100ms,100,0,A,PLC重启时发电机转速高于重启上限值(500)。,"1.检查故障时刻前1s内grGenSpeedPDM是否无跳变匀速上升,是否在PLC没有启动完成之前,转速超过500RPM"
SC02_04_039,主控系统测得的发电机转速与从变频器读得的不匹配,1s,100,0,M,风机满足如下所有条件:1.没有刹车程序被激活2.发电机转速高于设定值(350)3.0C_IgnoreUnequalError为false4.发电机转速和从变频器计算得到的转速差大于给定值。,"1.检查传感器、信号线及其屏蔽,RC滤波回路2.检查发电机滑环是否有电蚀,干扰了转速传感器。"
SC02_08_001,发电机10分钟平均功率高于上限值,0s,100,0,A,10分钟平均发电机功率超出上限值2300KW,1.对比变频器自测功率确认是否真实过功率2.如过高检查UMG103、电流互感器及其接线
SC02_08_002,发电机30秒平均功率高于上限值,1s,100,0,A,30秒平均发电机功率超出上限值2350KW,1.对比变频器自测功率确认是否真实过功率2.如过高检查UMG103、电流互感器及其接线
SC02_08_003,1秒平均发电机功率超出上限值,5s,100,0,A,1秒平均发电机功率超出上限值2500KW,1.对比变频器自测功率确认是否真实过功率2.如过高检查UMG103、电流互感器及其接线
SC02_08_004,发电机10分钟平均功率高于上限值故障重复出现,0s,100,0,M,10分钟发电机功率超限故障重复出现(24小时5次),参照 SC02_08_001
