id,type,label,count,properties
"causal_factor:0039d7ed0e30","causal_factor","安全继电器异常","0","{}"
"causal_factor:f1e49c033db3","causal_factor","保护开关断开","0","{}"
"causal_factor:5e5596991b72","causal_factor","报警阈值不匹配","0","{}"
"causal_factor:2d644d4b17ea","causal_factor","泵效率下降","0","{}"
"causal_factor:d61207774b17","causal_factor","编码器故障","0","{}"
"causal_factor:cf962f264769","causal_factor","并网接触器异常","0","{}"
"causal_factor:5a03abe87546","causal_factor","采集通道故障","0","{}"
"causal_factor:f6738f03fcd2","causal_factor","参数或程序异常","0","{}"
"causal_factor:8220dae7e8fd","causal_factor","齿面磨损","0","{}"
"causal_factor:fd0bb1201bf8","causal_factor","冲击载荷","0","{}"
"causal_factor:a65006522ce9","causal_factor","传动链冲击","0","{}"
"causal_factor:df3432dc6e33","causal_factor","传感器损坏","0","{}"
"causal_factor:f24899137410","causal_factor","传感器线路故障","0","{}"
"causal_factor:1985e9012618","causal_factor","从站掉线","0","{}"
"causal_factor:06ccb6539dcd","causal_factor","电磁干扰","0","{}"
"causal_factor:ea6821bb6979","causal_factor","电缆扭转过大","0","{}"
"causal_factor:ce937e96c86a","causal_factor","电网电压频率越限","0","{}"
"causal_factor:aa13d6404073","causal_factor","电网电压扰动","0","{}"
"causal_factor:33f2b6a79e1b","causal_factor","电源板异常","0","{}"
"causal_factor:4588757d6114","causal_factor","端子松动","0","{}"
"causal_factor:919b8bc900a3","causal_factor","断路器动作","0","{}"
"causal_factor:6520a804597c","causal_factor","断路器反馈异常","0","{}"
"causal_factor:153df5115947","causal_factor","对中不良","0","{}"
"causal_factor:625c073125ce","causal_factor","阀卡滞","0","{}"
"causal_factor:c77efcc14f2f","causal_factor","阀组内泄","0","{}"
"causal_factor:640926389082","causal_factor","方向反馈错误","0","{}"
"causal_factor:f452e430bea9","causal_factor","防雷器失效","0","{}"
"causal_factor:a58c7d0d76ba","causal_factor","分配器堵塞","0","{}"
"causal_factor:e49384adcac0","causal_factor","风扇或加热器故障","0","{}"
"causal_factor:7b21acb83d2b","causal_factor","辅助触点故障","0","{}"
"causal_factor:b38f64eb8644","causal_factor","辅助触点异常","0","{}"
"causal_factor:700ff1db0bbe","causal_factor","工况边界触发","0","{}"
"causal_factor:b34b2d41d4e2","causal_factor","供电异常","0","{}"
"causal_factor:0654e5667fc2","causal_factor","管路漏液","0","{}"
"causal_factor:b2cf13593454","causal_factor","管路泄漏","0","{}"
"causal_factor:81aa26765a07","causal_factor","光纤链路异常","0","{}"
"causal_factor:fe64bf539b70","causal_factor","换热器堵塞","0","{}"
"causal_factor:1ee35186a9b9","causal_factor","机械卡滞","0","{}"
"causal_factor:be016602bcbd","causal_factor","基础异常","0","{}"
"causal_factor:9a559e6713a0","causal_factor","急停按下","0","{}"
"causal_factor:ce7adbd8526b","causal_factor","桨距角校准偏差","0","{}"
"causal_factor:125982243702","causal_factor","交换机或模块故障","0","{}"
"causal_factor:6c0f93a7237b","causal_factor","接触器/断路器异常","0","{}"
"causal_factor:d07955830980","causal_factor","接地电阻异常","0","{}"
"causal_factor:ddb7ca59ab8a","causal_factor","接地故障","0","{}"
"causal_factor:32705cce4023","causal_factor","接口松动","0","{}"
"causal_factor:1c528e35094f","causal_factor","结冰或污损","0","{}"
"causal_factor:ca0fb38e1934","causal_factor","开关断开","0","{}"
"causal_factor:276841a8ca66","causal_factor","开关未闭合","0","{}"
"causal_factor:901ee1b2baf6","causal_factor","控制板故障","0","{}"
"causal_factor:e593508be6ec","causal_factor","控制板异常","0","{}"
"causal_factor:bdd4bccd54e6","causal_factor","雷击浪涌","0","{}"
"causal_factor:ee7e36efaa94","causal_factor","冷却不足","0","{}"
"causal_factor:e57296a73d04","causal_factor","冷却液不足","0","{}"
"causal_factor:2eabd69b9a32","causal_factor","流量开关异常","0","{}"
"causal_factor:e86d6e628205","causal_factor","滤芯堵塞","0","{}"
"causal_factor:e102f83e8704","causal_factor","滤芯压差大","0","{}"
"causal_factor:0d5f0fd62760","causal_factor","轮毂部件松动","0","{}"
"causal_factor:0d012a40f1d6","causal_factor","密封失效","0","{}"
"causal_factor:d59ccecc0dd0","causal_factor","摩擦片磨损","0","{}"
"causal_factor:294bbd73a82f","causal_factor","扭缆保护触发","0","{}"
"causal_factor:b0a5d237d82c","causal_factor","偏航编码器异常","0","{}"
"causal_factor:1e023acecb6b","causal_factor","偏航电机故障","0","{}"
"causal_factor:11ea929298a8","causal_factor","偏航压力异常","0","{}"
"causal_factor:3631ebdff135","causal_factor","屏蔽层接地不良","0","{}"
"causal_factor:a14706696108","causal_factor","屏蔽接地不良","0","{}"
"causal_factor:877fc1bbe0a5","causal_factor","驱动器故障","0","{}"
"causal_factor:89b8967f68f9","causal_factor","润滑泵故障","0","{}"
"causal_factor:bb24438529fe","causal_factor","润滑不足","0","{}"
"causal_factor:3640e310a2e8","causal_factor","润滑污染","0","{}"
"causal_factor:89d09c55da37","causal_factor","润滑油劣化","0","{}"
"causal_factor:dea160f1c178","causal_factor","刹车泵故障","0","{}"
"causal_factor:617d3d2b0bff","causal_factor","刹车压力不足","0","{}"
"causal_factor:65752d589b95","causal_factor","时间戳不一致","0","{}"
"causal_factor:56c921529d5e","causal_factor","实际温度超限","0","{}"
"causal_factor:45a901093c01","causal_factor","数据采集丢点","0","{}"
"causal_factor:48ccc3966e07","causal_factor","水泵异常","0","{}"
"causal_factor:c663e84d305c","causal_factor","塔筒连接松动","0","{}"
"causal_factor:6c907db5a38e","causal_factor","通信链路断开","0","{}"
"causal_factor:f47a31852803","causal_factor","通信线缆断开","0","{}"
"causal_factor:31c039b47635","causal_factor","通信异常","0","{}"
"causal_factor:1a2886fa4766","causal_factor","凸轮位置偏差","0","{}"
"causal_factor:54ebd27fc656","causal_factor","湍流载荷","0","{}"
"causal_factor:481f41e56155","causal_factor","温度传感器异常","0","{}"
