变频器故障码,故障描述/现象,故障原因,故障处理
1,LSC CAN总线通讯错误,变频器器与PLC之间通讯中断,"1.检查PLC至变频器之间CAN通讯线路连接。
2.检查CAN-Spider至变频器之间的光纤连接。
3.检查GSC至LSC之间的光纤连接。
4.如果ConErrsto304、305同时报出，检查CAN-Spider是否有问题。
5.检查变频器是否有问题，如果与ConErrsto304同时报，检查LSC；如果与ConErrsto305同时报，检查GSC。"
2,LSC CAN运行超时,LSC接收信息过多，通讯出错,"1.变频器断电，直流母线放电重启。
2.LSC更新程序。
3.更换LSC。"
3,LSC 参数核对错误,程序更新时出错,同上
6,LSC DSP同步信号丢失,软、硬件故障,同上
7,手动测试到GSC时报此故障，可以复位,GSC问题,1.更换GSC
8,LSC 电网电压高,电网电压高,1.检查电网电压
9,LSC 电网电压低,电网电压低,"1.检查电网电压
2.检查电网电压测量保险"
10,LSC 接地故障,LSC测得三相电网电流矢量之和不为0,"1.检查电网电流检测信号线及固定是否有问题。
2.检查电流互感器是否正常。
3.检查网侧电抗及其接线是否有损坏。
4.断开滤波回路保险F300.5，测量网侧电抗相间及对地阻值是否正常。"
11,LSC硬件过压错误,DC母线过电压,"1.变频器断电，直流母线放电。
2.检查Crowbar单元（变频器至Crowbar的光纤，Crowbar控制器，二极管，晶闸管，放电电阻）。
3.如果GSC未检测到过压，更换LSC。"
12,LSC 48V电源故障,硬件故障,1.检查变频器48V供电是否正常。                               2.变频器断电，直流母线放电。                        3.更换LSC。
13,LSC 5V电源故障,硬件故障,1.检查变频器5V供电是否正常。                               2.变频器断电，直流母线放电。                       3.更换LSC。
14,LSC 预充电错误,变频器预充电继电器控制失败,"1.检查网侧变频器接线。
2.检查预充电接触器及控制、反馈回路线路。
3.更换LSC。"
15,LSC 1a过温,LSC检测到过温,"1.检查水冷系统是否正常，水阀是否打开。
2.检查水冷系统中是否有过多的空气，打开放气阀放气。3.检查水冷系统中冷水温度是否低于热水温度2度以上。4.GSC测温传感器可能损坏，更换LSC。"
16,LSC 2a过温,LSC检测到过温,同上
17,LSC 3a过温,LSC检测到过温,同上
23,LSC 1a低温,LSC检测到低温,"1.检查控制柜内加热器及柜内温度。
2.检查柜内加热接触器。
3.LSC测温传感器可能损坏，更换LSC。"
24,LSC 2a低温,LSC检测到低温,同上
25,LSC 3a低温,LSC检测到低温,同上
31,LSC内部过温,CPU控制板检测到过温,"1.检查水冷系统是否正常。
2.变频器断电，直流母线放电。
3.更换LSC。"
32,LSC低温,GSC检测到温度过低,"1.检查柜内加热器是否正常。
2.检查柜内加热器接触器。
3.检查水冷循环系统是否有空气顿塞。
4.LSC测温传感器可能损坏，更换LSC。"
33、34,LSC SCI校验错误,程序更新时产生,"1.变频器断电，直流母线放电。
2.重新更新程序。
3.更换LSC。"
35、36,LSC SCI接收错误,程序更新时产生,同上
37,LSC 软件过压,LSC检测到直流母线电压高,"1.变频器断电，直流母线放电。
2.更换LSC。"
38,LSC 软件欠压,LSC检测到直流母线电压低,同上
39,LSC看门狗时间错误,软件故障,"1.变频器断电，直流母线放电。
2.更新变频器程序。
3.更换LSC。"
40,LSC运行序列错误,软件故障,同上
41,LSC停止序列错误,软件故障,同上
