故障代码,描述,触发延时,刹车等级,偏航等级,复位模式,故障逻辑,检查
SC02_02_007,偏航系统电机加热器保险丝故障,1s,0,0,A,"偏航电机加热器的保护空开跳开,316DI1输入口2的信号为0","检查176F1是否跳开检查169DI6输入口8到176F1的接线检查加热器是否存在短路,电阻是否正常。"
SC02_02_023,机舱柜中偏航电机保护空开跳开,1s,0,100,A,"偏航电机的保护空开跳开,169DI6输入口2的信号为0","检查174Q1是否跳开检查169DI6输入口2到174Q1的接线;检查偏航电机三项绕组电阻,对地电阻。"
SC02_02_027,机舱柜中齿轮箱的油泵电机保护空开跳开,1s,51,0,A,"齿轮箱油泵电机高速或低速保护空开跳开,156DI1输入口1的信号为0","检查152Q2或152Q2.1是否跳检查156DI1输入口1到152Q2或152Q2.1的接线检查油泵电机三项绕组电阻,对地电阻。"
SC02_02_029,机舱柜中齿轮箱冷却风扇保护空开跳开,1s,51,0,A,"齿轮箱冷却风扇电机高速或低速保护空开跳开,156DI1输入口2或输入口3的信号为0","检查153Q1或153Q1.1是否跳开检查156DI1输入口2或输入口3到153Q1或153Q1.1的接线检查风扇电机三项绕组电阻,对地电阻。"
SC02_02_031,机舱柜中齿轮箱油池加热器保护空开跳开,1s,0,0,A,"齿轮箱油池加热器保护空开跳开,156DI1输入口4的信号为0","检查155Q1是否跳开检查156DI1输入口4到225Q2的接线检查齿轮箱加热器是否存在短路,电阻是否正常。"
SC02_02_041,机舱柜中液压站的液压泵保护空开跳开,1s,51,0,M,163DI1的1通道信号为0,"1.检查162Q2空开是否跳开;2.检查163DI1模块输入电压24V是否正常,模块及接线是否松动3.检查液压泵电机三相电阻是否平衡,对地电阻是否正常"
SC02_02_042,机舱柜中齿轮箱冷却风扇电机加热器或齿轮箱油泵电机加热器保护空开跳开,1s,0,0,A,156DI1的6通道信号为0,"1.检查空开154F3是否跳开2.检查156DI1端口电压,模块是否正常3.检查加热器电阻阻值是否正常,有无对地短路。"
SC02_02_046,偏航系统1号电机保护系统被触发,1s,0,100,A,169DI6的3通道信号为0,"1.检查174F1触点是否弹出2.检查偏航1号电机三相阻值,对地阻值3.检查169DI6端口电压,模块是否正常"
SC02_02_047,偏航系统2号电机保护系统被触发,1s,0,100,A,169DI6的4通道信号为0,"1.检查174F3触点是否弹出2.检查偏航2号电机三相阻值,对地阻值3.检查169DI6端口电压,模块是否正常"
SC02_02_048,偏航系统3号电机保护系统被触发,1s,0,100,A,169DI6的5通道信号为0,"1.检查174F5触点是否弹出2.检查偏航3号电机三相阻值,对地阻值3.检查169DI6端口电压,模块是否正常"
SC02_02_049,偏航系统4号电机保护系统被触发,1s,0,100,A,169DI6的6通道信号为0,"1.检查174F7触点是否弹出2.检查偏航4号电机三相阻值,对地阻值3.检查169DI6端口电压,模块是否正常"
SC02_02_054,测量齿轮箱油池油温的PT100传感器故障,5s,51,0,M,160AI1的1通道输入异常,"1.检查160AI1的1通道输入是否正常,模块是否正常2.检查PT100阻值是否正常"
SC02_02_055,测量齿轮箱入口油温的PT100传感器故障,5s,51,0,M,160AI1的2通道输入异常,"1.检查160AI1的2通道输入是否正常,模块是否正常2.检查PT100阻值是否正常"
SC02_02_058,测量驱动端轴承温度的PT100传感器故障,5s,51,0,M,160AI1的3通道输入异常,"1.检查160AI1的3通道输入是否正常,模块是否正常2.检查PT100阻值是否正常"
SC02_02_059,测量非驱动端轴承温度的PT100传感器故障,5s,51,0,M,160AI1的4通道输入异常,"1.检查160AI1的4通道输入是否正常,模块是否正常2.检查PT100阻值是否正常"
SC02_02_060,测量主轴轴承座温度的PT100传感器故障,5s,51,0,M,126AI1的4通道输入异常,"1.检查126AI1的4通道输入是否正常,模块是否正常2.检查PT100阻值是否正常"
SC02_02_061,测量齿轮箱驱动端的中间轴温度的PT100传感器故障,5s,51,0,M,167AI7的2通道输入异常,"1.检查167AI7的2通道输入是否正常,模块是否正常2.检查PT100阻值是否正常"
SC02_02_062,测量齿轮箱非驱动端的中间轴温度的PT100传感器故障,5s,51,0,M,167AI7的1通道输入异常,"1.检查167AI7的1通道输入是否正常,模块是否正常2.检查PT100阻值是否正常"
SC02_02_064,测量齿轮箱油过滤器入口油压的压力传感器故障,1s,0,0,A,161AI2的2通道输入异常,"1.检查161AI2的2通道输入是否正常,模块是否正常2.检查油压传感器是否正常"
SC02_02_065,测量齿轮箱入口油压的压力传感器故障,1s,0,0,A,161AI2的1通道输入异常,"1.检查161AI2的1通道输入是否正常,模块是否正常2.检查油压传感器是否正常"
SC02_02_078,机舱柜中偏航电机抱闸的保护空开跳开,1s,0,100,A,169DI6的7通道输入信号为0,"1.检查空开175F1是否跳开2.检查接触器182KM2是否正常吸合3.检查偏航抱闸是否正常吸合,制动器线圈电阻是否正常,对地电阻是否正常。4.检查模块是否正常"
SC02_02_088,偏航系统位置传感器故障,1s,0,0,A,183AI1的1通道输入异常,"1.检查183AI1输入是否正常,模块功能是否正常2.检查偏航位置传感器,黄盒子是否正常"
SC02_02_089,风向标故障,5s,0,100,A,183AI1的1通道输入异常,"1.检查183AI1的1通道输入是否正常2.检查风向标供电是否正常3.检查192FA2防雷模块是否正常4.检查风向标是否正常,是否松动"
SC02_02_090,测量液压站蓄压罐压力的压力传感器故障,1s,0,0,M,161AI2的3通道输入异常,1.检查161AI2模块是否异常2.检查压力传感器是否异常
SC02_03_003,机舱温度高于最大上限值,T#1m,51,0,A,机舱10分钟平均温度高于最大值。(grTempNacelle_10min>PAR_rTempMAX_Nacelle(48℃)),"1.检查机舱温度是否超过48度2.检查模块126AI1通道2输入是否正常3.检查PT100测温是否准确,接线是否松动"
SC02_03_004,机舱温度低于最小下限值,T#1m,50,0,A,机舱10分钟平均温度低于最小值。(grTempNacelle_10min<PAR_rTempMIN_Nacelle(-30℃)),"1.检查机舱温度是否超过48度2.检查模块126AI1通道2输入是否正常3.检查PT100测温是否准确,接线是否松动"
SC02_03_005,机舱温度过低或过高故障重复出现,T#1m,51,0,M,机舱温度过低或过高故障重复出现,"1.检查机舱温度是否超过48度2.检查模块126AI1通道2输入是否正常3.检查PT100测温是否准确,接线是否松动"
SC02_03_006,机舱温度高于过高设计值,T#1m,51,0,A,机舱温度(10分钟平均值)高于设计最大值。(grTempNacelle_10min>PAR_rTempNacelleOutOfSpecMAX(50°C)),"1.检查机舱温度是否超过48度2.检查模块126AI1通道2输入是否正常3.检查PT100测温是否准确,接线是否松动"
SC02_03_007,机舱温度低于过低设计值,T#1m,51,0,A,机舱温度(10分钟平均值)高于设计最小值。(grTempNacelle_10min<PAR_rTempNacelleOutOfSpecMIN(-30°C)),"1.检查机舱温度是否超过48度2.检查模块126AI1通道2输入是否正常3.检查PT100测温是否准确,接线是否松动"
SC02_04_028,主轴的轴承座温度高于上限值,T#1m,51,0,A,主轴承10分钟平均温度高于最大值。(grTempRotorBearingA_10min>PAR_rTempMAX_RotorBearingA(60°C)),"1.检查主轴承温度是否超过60度2.检查主轴承测温回路PT100阻值及其接线是否正常,检查测温模块126AI1功能是否正常3.测试主轴承温度是否过高,若是则添加主轴承油脂,检查轴承是否损伤"
SC02_04_029,主轴承温度超过下限值,T#1m,50,0,A,主轴承10分钟平均温度高于最小值。(grTempRotorBearingA_10min<PAR_rTempMIN_RotorBearingA(-40)),"1.检查主轴承温度是否超过-15度2.检查主轴承测温回路PT100阻值及其接线是否正常,检查测温模块126AI1功能是否正常"
SC02_04_030,主轴承温度超过上下限值故障重复出现,T#1m,51,0,M,主轴承温度超过上下限值故障重复出现,"同SC02_04_028, SC02_04_029"
SC02_05_001,齿轮箱滤网阻塞警告,5s,0,0,A,156DI1的7通道信号为0,"1.检查滤网是否需要更换2.检查模块是否正常,检查传感器及接线"
SC02_05_002,齿轮箱滤网阻塞故障,0s,0,0,A,156DI1的7通道信号为0,"1.检查滤网是否需要更换2.检查模块是否正常,检查传感器及接线"
SC02_05_003,"齿轮箱滤网阻塞故障,要求停机",15s,51,0,M,156DI1的7通道信号为0,"1.检查滤网是否需要更换2.检查模块是否正常,检查传感器及接线"
SC02_05_004,齿轮箱油池油位警告,20s,0,0,A,156DI1的7通道信号为0,"1.观察齿轮箱油窗中油位是否过低2.检查模块是否正常,检查传感器及接线"
SC02_05_005,齿轮箱油池油位故障,40s,51,0,M,156DI1的7通道信号为0,"1.观察齿轮箱油窗中油位是否过低2.检查模块是否正常,检查传感器及接线"
SC02_05_006,齿轮箱油池油位警告重复出现,0s,51,0,M,156DI1的7通道信号为0,"1.观察齿轮箱油窗中油位是否过低2.检查模块是否正常,检查传感器及接线"
SC02_05_008,齿轮箱油压超出最大限值,30s,51,0,M,"齿轮油泵处于运行状态,滤网或齿轮箱入口油压1分钟平均值高于最大限值。","1.检查模块161AI2输入是否正常,传感器及其接线是否正常2.检查滤网是否需要更换"
