故障代码,故障信息,故障原因,解决方案,故障类型
1,SS-0保险断开,保险下端接地或绝缘不够,"1.检查F230.6保险下端是否接地，如有接地需先处理好接地问题。
2.检查浪涌保护器F238.7及F238.2是否接地。
3.如果即将并网报此故障且与Err145同时报，检查ABB定子接触器24V控制线圈对地电阻，正常为1kΩ以上，如果只有十几欧姆，则电路板损坏，需更换电路板。
4.如果与Err23、Err29等故障同时报出，检查变频器IGBT、变频器24V电源板、350A保险、8A保险、Crowbar管状放电电阻是否正常。",安全链
2,SS-1急停按扭按下,PLC接收不到组合继电器闭合反馈信号,"1.如果与Err210、Err211、Err212中的一个或多个同时报出，检查是否有急停按钮拍下或损坏。
2.如果单报Err2无法复位，检查急停及复位回路，寻找是否存在断点或线路松动问题。
3.检查急停复位线圈回路24V电压，如果低于20Vdc，则检查浪涌等器件是否正常，如绝缘异常、串电压等。
4.检查多功能继电器K230.3是否有问题。
5.若故障能够复位，但频繁发生，且以上原因都排除，则可采用排除法，将急停回路逐一短接，检查确定是否有线路或器件异常。",安全链
3,SS-2叶轮超速刹车,PLC主站A240.3-E63.10（ISafBraSpe）收不到反馈信号,"1.检查滑环是否固定良好、支撑杆是否松动、万向节活动是否灵活、与齿轮箱连接的支撑杆是否在齿轮箱侧加装30mm螺母。
2.检查滑环编码器到机舱控制柜、PLC端口间的接线是否松动。
3.检查制动器间隙是否正常、制动盘是否摩刹车片。
4.检查滑环编码器及其供电是否有问题。
5.检查轮毂超速继电器、设置值及接线是否正常。
6.检查超速继电器外接1k电阻是否正常（turck）。",安全链
4,SS-3三个变桨变频器均故障,PLC主站A240.3-E63.11（ISafBraHub）收不到反馈信号,"1.检查PLC Err35故障检测端口（all 3 blades error）-浪涌-滑环-轮毂柜-滑环-浪涌回路线路及器件是否正常。 
2.检查轮毂柜内K25.7/K35.7/K45.7是否正常
3.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。",安全链
5,SS-4刹车存储继电器未复位,PLC主站A240.3-E63.12（ISafBraStr）收不到反馈信号,"1.检查制动器传感器安装位置是否正确（正确的为长杆在中间，图纸代号为S222.6；短杆在旁边且有附件杆，图纸代号为S222.7）。
2.检查S222.6/S222.7传感器到PLC之间的线路是否存在问题。
3.bachmann简版机组程序问题，更新PLC程序到C14.143 20120427之后版。
4.更换传感器或制动器",安全链
6,SS-5发电机超速,系统检测到发电机超速,"1.检查编码器固定是否正常。
2.检查编码器外接电缆屏蔽线接地电阻是否小于0.3欧。
3.检查编码器至变频器间通讯线及插头是否松动或工作异常。
4.检查变频器到超速继电器及PLC之间的线路是否松动。
5.检查编码器供电电源是否稳定。
6.断开检查编码器外壳对地电阻，正常为无穷大。
7.检查发电机振动、噪音是否较大（如天元电机轴承不好引起噪音和振动，导致转速信号突变）。
8.检查发电机与齿轮箱之间的联轴器是否固定松动。
9.检查发电机编码器及固定是否有问题，天元电机早期使用的小编码器安装工艺有问题，建议更换为永济电机使用的大编码器（莱纳林德厂家）。
10.如果阵风引起，检查程序版本是否较旧。
11.检查叶片零位是否校正准确。
12.检查变频器测速版是否正常。",安全链
7,SS-6振动过大,发电机底部振动传感器回路触发,"1.检查发电机底部振动传感器及其回路。
2.检查机组实际振动。",安全链
8,SS-7轮毂超速,叶轮转速突变或超过限制值,"1.检查NCC310-K228.6继电器触点至PLC之间的线路是否松动。
2.检查NCC310-K228.6继电器是否正常。",安全链
9,SS-8看门狗故障,PLC主站A240.3:16收不到反馈信号,"1.如果NCC310柜门自动/手动 钥匙在手动位置，则服务模式下转速高于500rpm时会产生此故障。将自动/手动 钥匙转到自动即可。
2.检查NCC310-K246.1继电器是否工作正常。
3.如果与Err175同时报出，检查WTDI92/WTAI91上插头及线路是否松动或器件是否损坏。
4.如果与Err18、Err21、Err24同时报出，检查滑环上-X4通道6号线路上的电线连接及线路上的所有浪涌保护器，检查X4插头上7号线路是否正常接地。",安全链
10,SS-9刹车位置,PLC主站A240.3:17收不到反馈信号,"1.检查制动器开/关传感器线路及液压油位是否正常。
2.检查继电器NCC310-K228.8是否正常。
3.检查继电器NCC310-K228.8至PLC E62.17端口的线路是否松动。",安全链
